date,source,variant,granularity,equity_buy,equity_sell,equity_net,debt_buy,debt_sell,debt_net
2024-01-31,nse_fii_sebi_monthly,monthly,monthly,334371.62,360482.66,-26111.04,37769.36,16706.05,21063.31
2024-02-29,nse_fii_sebi_monthly,monthly,monthly,346071.09,342071.05,4000.04,42125.27,22432.2,19693.07
2024-03-31,nse_fii_sebi_monthly,monthly,monthly,428373.69,393091.28,35282.41,47432.08,28890.82,18541.26
2024-04-30,nse_fii_sebi_monthly,monthly,monthly,295238.49,304413.97,-9175.48,30084.43,46024.98,-15940.55
2024-05-31,nse_fii_sebi_monthly,monthly,monthly,395943.69,421203.38,-25259.69,36809.1,28441.58,8367.52
2024-06-30,nse_fii_sebi_monthly,monthly,monthly,405907.67,379967.42,25940.25,46997.01,29173.56,17823.45
2024-07-31,nse_fii_sebi_monthly,monthly,monthly,379883.21,351925.5,27957.71,51010.91,29147.16,21863.75
2024-08-31,nse_fii_sebi_monthly,monthly,monthly,415807.03,402372.77,13434.26,32205.69,18139.45,14066.24
2024-09-30,nse_fii_sebi_monthly,monthly,monthly,434967.39,385174.55,49792.84,10646.1,9368.42,1277.68
2024-10-31,nse_fii_sebi_monthly,monthly,monthly,326425.86,418359.5,-91933.64,8447.08,13143.56,-4696.48
2024-11-30,nse_fii_sebi_monthly,monthly,monthly,338208.5,356467.09,-18258.59,12969.5,12093.77,875.73
2024-12-31,nse_fii_sebi_monthly,monthly,monthly,328550.47,317464.7,11085.77,17609.2,13842.06,3767.14
2025-01-31,nse_fii_sebi_monthly,monthly,monthly,269623.15,342300.36,-72677.21,11612.54,14270.88,-2658.34
2025-02-28,nse_fii_sebi_monthly,monthly,monthly,279222.1,325821.18,-46599.08,8528.9,13729.02,-5200.12
2025-03-31,nse_fii_sebi_monthly,monthly,monthly,298911.92,290858.48,8053.44,22412.09,13302.12,9109.97
2025-04-30,nse_fii_sebi_monthly,monthly,monthly,297604.02,291240.54,6363.48,8128.14,22102.86,-13974.72
2025-05-31,nse_fii_sebi_monthly,monthly,monthly,342010.48,325569.15,16441.33,7315.29,21901.88,-14586.59
2025-06-30,nse_fii_sebi_monthly,monthly,monthly,371204.75,350781.11,20423.64,16154.0,14636.9,1517.1
2025-07-31,nse_fii_sebi_monthly,monthly,monthly,312648.33,337371.81,-24723.48,8391.27,10271.79,-1880.52
2025-08-31,nse_fii_sebi_monthly,monthly,monthly,283963.33,321786.37,-37823.04,22519.95,17566.1,4953.85
2025-09-30,nse_fii_sebi_monthly,monthly,monthly,308483.67,327411.56,-18927.89,15010.59,12124.4,2886.19
2025-10-31,nse_fii_sebi_monthly,monthly,monthly,286663.24,275613.62,11049.62,13079.65,9593.36,3486.29
2025-11-30,nse_fii_sebi_monthly,monthly,monthly,346249.3,345916.44,332.86,5757.07,9914.05,-4156.98
2025-12-31,nse_fii_sebi_monthly,monthly,monthly,249418.79,273243.54,-23824.75,11034.57,10419.32,615.25
2026-01-31,nse_fii_sebi_monthly,monthly,monthly,322501.95,351989.28,-29487.33,13011.71,20271.98,-7260.27
2026-02-28,nse_fii_sebi_monthly,monthly,monthly,358027.7,352365.46,5662.24,30655.95,32437.07,-1781.12
2026-03-31,nse_fii_sebi_monthly,monthly,monthly,301626.37,427081.06,-125454.69,22071.19,14205.03,7866.16
2026-04-30,nse_fii_sebi_monthly,monthly,monthly,323226.4,392097.98,-68871.58,8741.24,16089.1,-7347.86
2026-05-31,nse_fii_sebi_monthly,monthly,monthly,365202.02,412090.84,-46888.82,5669.67,6593.21,-923.54
2026-06-30,nse_fii_sebi_monthly,monthly,monthly,362181.25,391353.21,-29171.96,42721.78,10073.76,32648.02
