Date,Equity Gross Purchase,Equity Gross Sales,Equity Net Purchase / Sales,Debt Gross Purchase,Debt Gross Sales,Debt Net Purchase / Sales
June 2026,362181.25,391353.21,-29171.96,42721.78,10073.76,32648.02
May 2026,365202.02,412090.84,-46888.82,5669.67,6593.21,-923.54
April 2026,323226.40,392097.98,-68871.58,8741.24,16089.10,-7347.86
March 2026,301626.37,427081.06,-125454.69,22071.19,14205.03,7866.16
February 2026,358027.70,352365.46,5662.24,30655.95,32437.07,-1781.12
January 2026,322501.95,351989.28,-29487.33,13011.71,20271.98,-7260.27
December 2025,249418.79,273243.54,-23824.75,11034.57,10419.32,615.25
November 2025,346249.30,345916.44,332.86,5757.07,9914.05,-4156.98
October 2025,286663.24,275613.62,11049.62,13079.65,9593.36,3486.29
September 2025,308483.67,327411.56,-18927.89,15010.59,12124.40,2886.19
August 2025,283963.33,321786.37,-37823.04,22519.95,17566.10,4953.85
July 2025,312648.33,337371.81,-24723.48,8391.27,10271.79,-1880.52
June 2025,371204.75,350781.11,20423.64,16154.00,14636.90,1517.10
May 2025,342010.48,325569.15,16441.33,7315.29,21901.88,-14586.59
April 2025,297604.02,291240.54,6363.48,8128.14,22102.86,-13974.72
March 2025,298911.92,290858.48,8053.44,22412.09,13302.12,9109.97
February 2025,279222.10,325821.18,-46599.08,8528.90,13729.02,-5200.12
January 2025,269623.15,342300.36,-72677.21,11612.54,14270.88,-2658.34
December 2024,328550.47,317464.70,11085.77,17609.20,13842.06,3767.14
November 2024,338208.50,356467.09,-18258.59,12969.50,12093.77,875.73
October 2024,326425.86,418359.50,-91933.64,8447.08,13143.56,-4696.48
September 2024,434967.39,385174.55,49792.84,10646.10,9368.42,1277.68
August 2024,415807.03,402372.77,13434.26,32205.69,18139.45,14066.24
July 2024,379883.21,351925.50,27957.71,51010.91,29147.16,21863.75
June 2024,405907.67,379967.42,25940.25,46997.01,29173.56,17823.45
May 2024,395943.69,421203.38,-25259.69,36809.10,28441.58,8367.52
April 2024,295238.49,304413.97,-9175.48,30084.43,46024.98,-15940.55
March 2024,428373.69,393091.28,35282.41,47432.08,28890.82,18541.26
February 2024,346071.09,342071.05,4000.04,42125.27,22432.20,19693.07
January 2024,334371.62,360482.66,-26111.04,37769.36,16706.05,21063.31
