IndexName,Date,Close,EPS,P/E,P/B,Div Yield %
NIFTY 50,11-Nov-24,24141.3,1086,22.23,3.62,1.29
NIFTY 50,08-Nov-24,24148.2,1084,22.27,3.62,1.29
NIFTY 50,07-Nov-24,24199.35,1073,22.55,3.62,1.29
NIFTY 50,06-Nov-24,24484.05,1074,22.8,3.67,1.27
NIFTY 50,05-Nov-24,24213.3,1074,22.55,3.63,1.27
NIFTY 50,04-Nov-24,23995.35,1073,22.36,3.59,1.24
NIFTY 50,01-Nov-24,24304.35,1072,22.68,3.64,1.26
NIFTY 50,31-Oct-24,24205.35,1072,22.58,3.63,1.27
NIFTY 50,30-Oct-24,24340.85,1063,22.9,3.65,1.25
NIFTY 50,29-Oct-24,24466.85,1063,23.02,3.67,1.24
NIFTY 50,28-Oct-24,24339.15,1070,22.74,3.65,1.18
NIFTY 50,25-Oct-24,24180.8,1072,22.56,3.62,1.18
NIFTY 50,24-Oct-24,24399.4,1072,22.76,3.65,1.23
NIFTY 50,23-Oct-24,24435.5,1071,22.81,3.66,1.23
NIFTY 50,22-Oct-24,24472.1,1072,22.83,3.67,1.23
NIFTY 50,21-Oct-24,24781.1,1067,23.23,3.71,1.2
NIFTY 50,18-Oct-24,24854.05,1063,23.38,3.72,1.22
NIFTY 50,17-Oct-24,24749.85,1064,23.26,3.71,1.21
NIFTY 50,16-Oct-24,24971.3,1064,23.47,3.74,1.2
NIFTY 50,15-Oct-24,25057.35,1064,23.55,3.75,1.2
NIFTY 50,14-Oct-24,25127.95,1064,23.62,3.76,1.2
NIFTY 50,11-Oct-24,24964.25,1064,23.47,3.74,1.2
NIFTY 50,10-Oct-24,24998.45,1064,23.5,3.74,1.2
NIFTY 50,09-Oct-24,24981.95,1064,23.48,3.74,1.2
NIFTY 50,08-Oct-24,25013.15,1064,23.51,3.75,1.2
NIFTY 50,07-Oct-24,24795.75,1064,23.31,3.71,1.21
NIFTY 50,04-Oct-24,25014.6,1064,23.52,3.75,1.2
