ISIN,Company_Name,BSE_Symbol,NSE_Symbol,Security Code,Face_Value,ON_BSE,ON_NSE
IN90GGO01013,KRISHIVAL FOODS Ltd,KRISHPP,N/A,890232.0,10.0,1,0
IN90NN701011,Allcargo Terminals Ltd,ATLPP,N/A,890228.0,2.0,1,0
IN9161F01019,ANIRIT VENTURES Ltd,ANIRITPP,N/A,890231.0,10.0,1,0
IN9170U01035,Suraj Industries Ltd,SURAJINDPP,N/A,890226.0,10.0,1,0
IN9175A01010,Jain Irrigation Systems Limited,JISLDVREQS,JISLDVREQS,570004.0,2.0,1,1
IN9237C01014,KATI PATANG LIFESTYLE Ltd,PATANGPP,N/A,890220.0,10.0,1,0
IN9273A01047,Aplab Ltd,APLABPP,N/A,890217.0,10.0,1,0
IN9428B01029,PVV Infra Ltd,PVVIPP,N/A,890233.0,5.0,1,0
IN9564C01011,Yarn Syndicate Ltd,YARNPP,N/A,890197.0,10.0,1,0
IN9572J01019,Spandana Sphoorty Financial Ltd,SSFLPP,N/A,890221.0,10.0,1,0
IN9623B01058,Future Enterprises Limited,FELDVR,FELDVR,570002.0,2.0,1,1
IN9624Z01022,SOLARA ACTIVE PHARMA SCIENCES Ltd,SOLARAPP1,N/A,890202.0,10.0,1,0
IN9849B01026,Ace Software Exports ltd,ACESEPP,N/A,890230.0,10.0,1,0
INE001B01026,KRBL Limited,KRBL,KRBL,530813.0,1.0,1,1
INE001E01012,Premco Global Ltd,PREMCO,N/A,530331.0,10.0,1,0
INE001F01019,Modern Steels Ltd,MDRNSTL,N/A,513303.0,10.0,1,0
INE001O01029,Risa International Ltd,RISAINTL,N/A,530251.0,2.0,1,0
INE002A01018,Reliance Industries Limited,RELIANCE,RELIANCE,500325.0,10.0,1,1
INE002B01016,Madala Holdings Ltd,MADALA,N/A,532344.0,10.0,1,0
INE002E01010,SAR Auto Products Ltd,SAPL,N/A,538992.0,10.0,1,0
INE002L01015,SJVN Limited,SJVN,SJVN,533206.0,10.0,1,1
INE002S01010,Mahanagar Gas Limited,MGL,MGL,539957.0,10.0,1,1
INE003A01024,Siemens Limited,SIEMENS,SIEMENS,500550.0,2.0,1,1
INE003B01014,Inter State Oil Carrier Ltd,INTSTOIL,N/A,530259.0,10.0,1,0
INE003F01015,Muller & Phipps India Ltd,MULLER,N/A,501477.0,10.0,1,0
INE004A01022,Protean eGov Technologies Limited,PROTEAN,PROTEAN,544021.0,10.0,1,1
INE004C01028,Gujarat Cotex Ltd,GUJCOTEX,N/A,514386.0,5.0,1,0
INE004Z01011,Mac Hotels Ltd,MACH,N/A,541973.0,10.0,1,0
INE005B01027,Avantel Limited,AVANTEL,AVANTEL,532406.0,2.0,1,1
INE005C01017,RTS Power Corporation Ltd,RTSPOWR,N/A,531215.0,10.0,1,0
INE005E01013,Ekansh Concepts Ltd,EKANSH,N/A,531364.0,10.0,1,0
INE005G01026,Deep Diamond India Ltd,DDIL,N/A,539559.0,1.0,1,0
INE005I01014,AMD Industries Limited,AMDIND,AMDIND,532828.0,10.0,1,1
INE006C01015,KZ Leasing & Finance Ltd,KZLFIN,N/A,511728.0,10.0,1,0
INE006F01018,NB Footwear Ltd,NBFOOT,N/A,523242.0,10.0,1,0
INE006I01046,Astral Limited,ASTRAL,ASTRAL,532830.0,1.0,1,1
INE006Z01016,Arvee Laboratories (India) Limited,N/A,ARVEE,N/A,10.0,0,1
INE007A01025,CRISIL Limited,CRISIL,CRISIL,500092.0,1.0,1,1
INE007B01023,Geojit Financial Services Limited,GEOJITFSL,GEOJITFSL,532285.0,1.0,1,1
INE007C01021,Indrayani Biotech Ltd,INDRANIB,N/A,526445.0,10.0,1,0
INE007G01014,Mahasagar Travels Ltd,MHSGRMS,N/A,526795.0,10.0,1,0
INE007N01010,Fedbank Financial Services Limited,FEDFINA,FEDFINA,544027.0,10.0,1,1
INE008A01015,IDBI Bank Limited,IDBI,IDBI,500116.0,10.0,1,1
INE008B01013,Aimco Pesticides Ltd,AIMCOPEST,N/A,524288.0,10.0,1,0
INE008C01011,Royale Manor Hotels & Industries Ltd,RAYALEMA,N/A,526640.0,10.0,1,0
