year,date,granularity,source,source_file,gdp_growth_pct,sensex_close,inflation_pct,usd_inr,sensex_return_pct,inflation_mod_dummy,inflation_high_dummy
1980,1980-12-31,daily,historic_data_csv,india_macro_annual.csv,3.37,,11.35,7.86,,0,1
1981,1981-12-31,annual,historic_data_xlsx,India_Stock_Market_Data.xlsx,3.95,148.25,13.0,8.66,48.25,0,1
1982,1982-12-31,daily,historic_data_csv,india_macro_annual.csv,3.73,214.56,7.2,9.46,44.73,0,1
1983,1983-12-31,daily,historic_data_csv,india_macro_annual.csv,3.6,222.14,9.6,10.1,3.53,0,1
1984,1984-12-31,annual,historic_data_xlsx,India_Stock_Market_Data.xlsx,3.16,236.21,8.4,11.36,6.33,0,1
1985,1985-12-31,annual,historic_data_xlsx,India_Stock_Market_Data.xlsx,3.16,249.14,5.9,12.24,5.47,1,0
1986,1986-12-31,annual,historic_data_xlsx,India_Stock_Market_Data.xlsx,3.06,514.85,8.9,12.61,106.65,0,1
1987,1987-12-31,annual,historic_data_xlsx,India_Stock_Market_Data.xlsx,3.87,605.57,8.6,12.96,17.62,0,1
1988,1988-12-31,annual,historic_data_xlsx,India_Stock_Market_Data.xlsx,3.6,462.27,8.3,13.92,-23.66,0,1
1989,1989-12-31,annual,historic_data_xlsx,India_Stock_Market_Data.xlsx,3.71,471.5,7.4,15.96,2.0,0,1
1990,1990-12-31,annual,historic_data_xlsx,India_Stock_Market_Data.xlsx,3.02,713.6,10.3,17.5,51.35,0,1
1991,1991-12-31,daily,historic_data_csv,india_macro_annual.csv,7.44,676.23,13.0,24.52,-5.24,0,1
1992,1992-12-31,annual,historic_data_xlsx,India_Stock_Market_Data.xlsx,7.36,982.32,6.3,25.92,45.26,0,1
1993,1993-12-31,daily,historic_data_csv,india_macro_annual.csv,6.32,1992.0,6.4,31.37,102.79,0,1
1994,1994-12-31,annual,historic_data_xlsx,India_Stock_Market_Data.xlsx,6.46,2615.37,10.2,31.4,31.29,0,1
1995,1995-12-31,annual,historic_data_xlsx,India_Stock_Market_Data.xlsx,6.67,3233.14,8.9,32.43,23.62,0,1
1996,1996-12-31,annual,historic_data_xlsx,India_Stock_Market_Data.xlsx,7.11,4269.86,9.3,35.43,32.07,0,1
1997,1997-12-31,daily,historic_data_csv,india_macro_annual.csv,7.75,3493.21,7.9,36.31,-18.19,0,1
1998,1998-12-31,annual,historic_data_xlsx,India_Stock_Market_Data.xlsx,7.76,3514.61,13.0,41.26,0.61,0,1
1999,1999-12-31,annual,historic_data_xlsx,India_Stock_Market_Data.xlsx,7.68,4305.76,10.0,43.06,22.51,0,1
2000,2000-12-31,annual,historic_data_xlsx,India_Stock_Market_Data.xlsx,8.52,3250.69,13.0,44.94,-24.5,0,1
2001,2001-12-31,annual,historic_data_xlsx,India_Stock_Market_Data.xlsx,7.78,3963.56,10.3,47.19,21.93,0,1
2002,2002-12-31,daily,historic_data_csv,india_macro_annual.csv,8.28,4657.55,8.0,48.4,17.51,0,1
