date,sentiment_mean,positive_count,negative_count,article_count,source
2017-01-01,-0.14974655216666666,15,21,36,historic_data_news_sentiment
2017-01-02,-0.09944383127272728,35,42,77,historic_data_news_sentiment
2017-01-03,-0.09107422961940298,60,74,134,historic_data_news_sentiment
2017-01-04,-0.006896457885350318,77,80,157,historic_data_news_sentiment
2017-01-05,-0.13588106330817612,69,90,159,historic_data_news_sentiment
2017-01-06,-0.26494066474647887,26,45,71,historic_data_news_sentiment
2017-01-07,-0.24980062145901638,23,38,61,historic_data_news_sentiment
2017-01-08,-0.18258392876744187,35,51,86,historic_data_news_sentiment
2017-01-09,-0.18489536347142857,57,83,140,historic_data_news_sentiment
2017-01-10,0.05322081945578231,78,69,147,historic_data_news_sentiment
2017-01-11,-0.13344999228846152,45,59,104,historic_data_news_sentiment
2017-01-12,-0.15185629523030303,70,95,165,historic_data_news_sentiment
2017-01-13,-0.12245867072262773,60,77,137,historic_data_news_sentiment
2017-01-14,-0.19783335544680852,19,28,47,historic_data_news_sentiment
2017-01-15,-0.23366023332352942,26,42,68,historic_data_news_sentiment
2017-01-16,-0.24526556464423077,38,66,104,historic_data_news_sentiment
2017-01-17,-0.22441436405555557,41,67,108,historic_data_news_sentiment
2017-01-18,-0.15727687704827586,61,84,145,historic_data_news_sentiment
2017-01-19,-0.08936134998101265,73,85,158,historic_data_news_sentiment
2017-01-20,-0.09518301316477272,78,98,176,historic_data_news_sentiment
2017-01-21,0.1321735788181818,13,9,22,historic_data_news_sentiment
2017-01-22,-0.2223032255116279,17,26,43,historic_data_news_sentiment
2017-01-23,-0.17365459860227273,72,104,176,historic_data_news_sentiment
2017-01-24,-0.09529662266176471,59,77,136,historic_data_news_sentiment
2017-01-25,-0.0492518639375,69,75,144,historic_data_news_sentiment
2017-01-26,-0.38426485658108106,22,52,74,historic_data_news_sentiment
2017-01-27,-0.03321507175333333,73,77,150,historic_data_news_sentiment
2017-01-28,-0.12572021028070174,25,32,57,historic_data_news_sentiment
2017-01-29,-0.10507212442424242,29,37,66,historic_data_news_sentiment
2017-01-30,-0.20284858194387756,76,120,196,historic_data_news_sentiment
2017-01-31,-0.17211389894,40,60,100,historic_data_news_sentiment
2017-02-01,0.07198247237815127,127,111,238,historic_data_news_sentiment
2017-02-02,0.07595069497560976,112,93,205,historic_data_news_sentiment
2017-02-03,0.1029003582413793,113,90,203,historic_data_news_sentiment
2017-02-04,-0.1515224189,17,23,40,historic_data_news_sentiment
2017-02-05,0.14011367157142857,12,9,21,historic_data_news_sentiment
2017-02-06,-0.059778297793103445,41,46,87,historic_data_news_sentiment
2017-02-07,-0.31071994389473684,58,113,171,historic_data_news_sentiment
2017-02-08,-0.20439970128773585,84,128,212,historic_data_news_sentiment
2017-02-09,-0.20986892437688442,77,122,199,historic_data_news_sentiment
2017-02-10,-0.17649220158474577,47,71,118,historic_data_news_sentiment
2017-02-11,0.049675854890624996,34,30,64,historic_data_news_sentiment
2017-02-12,0.2122008318630137,45,28,73,historic_data_news_sentiment
2017-02-13,-0.1464282421566265,72,94,166,historic_data_news_sentiment
2017-02-14,-0.23542187378658536,62,102,164,historic_data_news_sentiment
2017-02-15,-0.21886180175652173,45,70,115,historic_data_news_sentiment
2017-02-16,-0.11378575003333334,65,85,150,historic_data_news_sentiment
2017-02-17,-0.13261069854644808,79,104,183,historic_data_news_sentiment
2017-02-18,-0.07239659377083332,22,26,48,historic_data_news_sentiment
2017-02-19,-0.11960665949253732,30,37,67,historic_data_news_sentiment
2017-02-20,-0.06370494322093023,40,46,86,historic_data_news_sentiment
2017-02-21,-0.06706510198136646,75,86,161,historic_data_news_sentiment
2017-02-22,0.027015808257861637,82,77,159,historic_data_news_sentiment
2017-02-23,-0.09836597519178082,67,79,146,historic_data_news_sentiment
2017-02-24,-0.20628178311956524,35,57,92,historic_data_news_sentiment
2017-02-25,-0.289447491,9,17,26,historic_data_news_sentiment
2017-02-26,0.20642252514583334,30,18,48,historic_data_news_sentiment
2017-02-27,-0.08918089487050361,62,77,139,historic_data_news_sentiment
2017-02-28,-0.24364828352604165,71,121,192,historic_data_news_sentiment
2017-03-01,-0.10456536012077294,94,113,207,historic_data_news_sentiment
2017-03-02,-0.17894652975968994,52,77,129,historic_data_news_sentiment
2017-03-03,-0.19980537825153374,66,97,163,historic_data_news_sentiment
2017-03-04,-0.04163844860377358,25,28,53,historic_data_news_sentiment
2017-03-05,-0.09734962229333334,33,42,75,historic_data_news_sentiment
2017-03-06,-0.050160727866279065,83,89,172,historic_data_news_sentiment
2017-03-07,-0.003154270170212765,46,48,94,historic_data_news_sentiment
2017-03-08,-0.12715284793835616,63,83,146,historic_data_news_sentiment
2017-03-09,-0.1766536167324841,64,93,157,historic_data_news_sentiment
2017-03-10,-0.3030078973858268,43,84,127,historic_data_news_sentiment
2017-03-11,0.08293360164655172,64,52,116,historic_data_news_sentiment
2017-03-12,0.2296428933,25,15,40,historic_data_news_sentiment
2017-03-13,0.01076159096428571,14,14,28,historic_data_news_sentiment
2017-03-14,-0.14510035922839506,69,93,162,historic_data_news_sentiment
2017-03-15,-0.07343773319026548,104,122,226,historic_data_news_sentiment
2017-03-16,0.04816092578240741,115,101,216,historic_data_news_sentiment
2017-03-17,0.22402983898936168,58,36,94,historic_data_news_sentiment
2017-03-18,0.07421448216504854,55,48,103,historic_data_news_sentiment
2017-03-19,0.18622449657831325,50,33,83,historic_data_news_sentiment
2017-03-20,-0.1458872122771739,77,107,184,historic_data_news_sentiment
2017-03-21,-0.0938900761375,71,89,160,historic_data_news_sentiment
2017-03-22,-0.1309157070952381,54,72,126,historic_data_news_sentiment
2017-03-23,0.04465261574853801,90,81,171,historic_data_news_sentiment
