symbol,bse_symbol,company_name,source
JISLDVREQS,JISLDVREQS,Jain Irrigation Systems Limited,historic_data_archive7
FELDVR,FELDVR,Future Enterprises Limited,historic_data_archive7
KRBL,KRBL,KRBL Limited,historic_data_archive7
RELIANCE,RELIANCE,Reliance Industries Limited,historic_data_archive7
SJVN,SJVN,SJVN Limited,historic_data_archive7
MGL,MGL,Mahanagar Gas Limited,historic_data_archive7
SIEMENS,SIEMENS,Siemens Limited,historic_data_archive7
PROTEAN,PROTEAN,Protean eGov Technologies Limited,historic_data_archive7
AVANTEL,AVANTEL,Avantel Limited,historic_data_archive7
AMDIND,AMDIND,AMD Industries Limited,historic_data_archive7
ASTRAL,ASTRAL,Astral Limited,historic_data_archive7
ARVEE,NAN,Arvee Laboratories (India) Limited,historic_data_archive7
CRISIL,CRISIL,CRISIL Limited,historic_data_archive7
GEOJITFSL,GEOJITFSL,Geojit Financial Services Limited,historic_data_archive7
FEDFINA,FEDFINA,Fedbank Financial Services Limited,historic_data_archive7
IDBI,IDBI,IDBI Bank Limited,historic_data_archive7
INFY,INFY,Infosys Limited,historic_data_archive7
TREJHARA,TREJHARA,TREJHARA SOLUTIONS LIMITED,historic_data_archive7
SVLL,NAN,Shree Vasu Logistics Limited,historic_data_archive7
BIKAJI,BIKAJI,Bikaji Foods International Limited,historic_data_archive7
MEGASTAR,MEGASTAR,Megastar Foods Limited,historic_data_archive7
HARIOMPIPE,HARIOMPIPE,Hariom Pipe Industries Limited,historic_data_archive7
PRUDENT,PRUDENT,Prudent Corporate Advisory Services Limited,historic_data_archive7
ACUTAAS,ACUTAAS,Acutaas Chemicals Limited,historic_data_archive7
SWIGGY,SWIGGY,Swiggy Limited,historic_data_archive7
OSWALSEEDS,NAN,ShreeOswal Seeds And Chemicals Limited,historic_data_archive7
STOVEKRAFT,STOVEKRAFT,Stove Kraft Limited,historic_data_archive7
RAJMET,NAN,Rajnandini Metal Limited,historic_data_archive7
SONAMLTD,NAN,SONAM LIMITED,historic_data_archive7
CRAFTSMAN,CRAFTSMAN,Craftsman Automation Limited,historic_data_archive7
SWSOLAR,SWSOLAR,Sterling and Wilson Renewable Energy Limited,historic_data_archive7
INTERARCH,INTERARCH,Interarch Building Solutions Limited,historic_data_archive7
DHARMAJ,DHARMAJ,Dharmaj Crop Guard Limited,historic_data_archive7
AHLADA,NAN,Ahlada Engineers Limited,historic_data_archive7
STUDDS,STUDDS,Studds Accessories Limited,historic_data_archive7
SGIL,SGIL,Synergy Green Industries Limited,historic_data_archive7
DALBHARAT,DALBHARAT,Dalmia Bharat Limited,historic_data_archive7
HILINFRA,HILINFRA,Highway Infrastructure Limited,historic_data_archive7
NILASPACES,NILASPACES,Nila Spaces Limited,historic_data_archive7
UNIECOM,UNIECOM,Unicommerce Esolutions Limited,historic_data_archive7
MANORAMA,MANORAMA,Manorama Industries Limited,historic_data_archive7
AFFLE,AFFLE,Affle 3i Limited,historic_data_archive7
SEDEMAC,SEDEMAC,SEDEMAC Mechatronics Limited,historic_data_archive7
FLAIR,FLAIR,Flair Writing Industries Limited,historic_data_archive7
AKG,NAN,Akg Exim Limited,historic_data_archive7
ABINFRA,ABINFRA,A B Infrabuild Limited,historic_data_archive7
JARO,JARO,Jaro Institute of Technology Management and Research Limited,historic_data_archive7
KRITIKA,NAN,Kritika Wires Limited,historic_data_archive7
AFSL,AFSL,Abans Financial Services Limited,historic_data_archive7
ENTERO,ENTERO,Entero Healthcare Solutions Limited,historic_data_archive7
PRSMJOHNSN,PRSMJOHNSN,Prism Johnson Limited,historic_data_archive7
ZYDUSLIFE,ZYDUSLIFE,Zydus Lifesciences Limited,historic_data_archive7
TEJASNET,TEJASNET,Tejas Networks Limited,historic_data_archive7
LTTS,LTTS,L&T Technology Services Limited,historic_data_archive7
BALUFORGE,BALUFORGE,Balu Forge Industries Limited,historic_data_archive7
TEGA,TEGA,Tega Industries Limited,historic_data_archive7
ACC,ACC,ACC Limited,historic_data_archive7
RNBDENIMS,RNBDENIMS,R&B Denims Limited,historic_data_archive7
KSHITIJPOL,NAN,Kshitij Polyline Limited,historic_data_archive7
ONESOURCE,ONESOURCE,Onesource Specialty Pharma Limited,historic_data_archive7
TECILCHEM,TECILCHEM,TECIL Chemicals and Hydro Power Limited,historic_data_archive7
TINNARUBR,TINNARUBR,Tinna Rubber and Infrastructure Limited,historic_data_archive7
MANAKSIA,MANAKSIA,Manaksia Limited,historic_data_archive7
DABUR,DABUR,Dabur India Limited,historic_data_archive7
DNAMEDIA,DNAMEDIA,Diligent Media Corporation Limited,historic_data_archive7
CEINSYS,CEINSYS,Ceinsys Tech Limited,historic_data_archive7
GESHIP,GESHIP,The Great Eastern Shipping Company Limited,historic_data_archive7
SMLT,SMLT,Sarthak Metals Limited,historic_data_archive7
SUVIDHAA,SUVIDHAA,Suvidhaa Infoserve Limited,historic_data_archive7
LT,LT,Larsen & Toubro Limited,historic_data_archive7
SBICARD,SBICARD,SBI Cards and Payment Services Limited,historic_data_archive7
JSWSTEEL,JSWSTEEL,JSW Steel Limited,historic_data_archive7
HSCL,HSCL,Himadri Speciality Chemical Limited,historic_data_archive7
SASTASUNDR,SASTASUNDR,Sastasundar Ventures Limited,historic_data_archive7
STANLEY,STANLEY,Stanley Lifestyles Limited,historic_data_archive7
AWHCL,AWHCL,Antony Waste Handling Cell Limited,historic_data_archive7
AARTECH,AARTECH,Aartech Solonics Limited,historic_data_archive7
VMM,VMM,Vishal Mega Mart Limited,historic_data_archive7
BBTCL,BBTCL,B&B Triplewall Containers Limited,historic_data_archive7
RITCO,RITCO,Ritco Logistics Limited,historic_data_archive7
SPECTRUM,SPECTRUM,Spectrum Electrical Industries Limited,historic_data_archive7
STYLEBAAZA,STYLEBAAZA,Baazar Style Retail Limited,historic_data_archive7
IRISDOREME,NAN,Iris Clothings Limited,historic_data_archive7
SILGO,NAN,Silgo Retail Limited,historic_data_archive7
SKYGOLD,SKYGOLD,SKY GOLD AND DIAMONDS LIMITED,historic_data_archive7
MARINE,NAN,Marine Electricals (India) Limited,historic_data_archive7
VINNY,VINNY,Vinny Overseas Limited,historic_data_archive7
SRD,SRD,Shankar Lal Rampal Dye-Chem Limited,historic_data_archive7
XELPMOC,XELPMOC,Xelpmoc Design And Tech Limited,historic_data_archive7
EMUDHRA,EMUDHRA,eMudhra Limited,historic_data_archive7
VIKRAN,VIKRAN,Vikran Engineering Limited,historic_data_archive7
CANHLIFE,CANHLIFE,Canara HSBC Life Insurance Company Limited,historic_data_archive7
SPENCERS,SPENCERS,Spencer's Retail Limited,historic_data_archive7
RECLTD,RECLTD,REC Limited,historic_data_archive7
BAIDFIN,BAIDFIN,Baid Finserv Limited,historic_data_archive7
INSPIRISYS,INSPIRISYS,Inspirisys Solutions Limited,historic_data_archive7
GOKUL,GOKUL,Gokul Refoils and Solvent Limited,historic_data_archive7
ASIANPAINT,ASIANPAINT,Asian Paints Limited,historic_data_archive7
DODLA,DODLA,Dodla Dairy Limited,historic_data_archive7
EUROTEXIND,EUROTEXIND,Eurotex Industries and Exports Limited,historic_data_archive7
ASIANTILES,ASIANTILES,Asian Granito India Limited,historic_data_archive7
IEX,IEX,Indian Energy Exchange Limited,historic_data_archive7
NSIL,NSIL,Nalwa Sons Investments Limited,historic_data_archive7
NECLIFE,NECLIFE,Nectar Lifesciences Limited,historic_data_archive7
SETUINFRA,SETUINFRA,Setubandhan Infrastructure Limited,historic_data_archive7
AEROFLEX,AEROFLEX,Aeroflex Industries Limited,historic_data_archive7
PRUDMOULI,PRUDMOULI,Prudential Sugar Corporation Limited,historic_data_archive7
SHILCTECH,SHILCTECH,Shilchar Technologies Limited,historic_data_archive7
GRAVITA,GRAVITA,Gravita India Limited,historic_data_archive7
CONSOFINVT,NAN,Consolidated Finvest & Holdings Limited,historic_data_archive7
GOLDIAM,GOLDIAM,Goldiam International Limited,historic_data_archive7
ARTEMISMED,ARTEMISMED,Artemis Medicare Services Limited,historic_data_archive7
GSFC,GSFC,Gujarat State Fertilizers & Chemicals Limited,historic_data_archive7
RCF,RCF,Rashtriya Chemicals and Fertilizers Limited,historic_data_archive7
MAXHEALTH,MAXHEALTH,Max Healthcare Institute Limited,historic_data_archive7
RUDRA,RUDRA,Rudra Global Infra Products Limited,historic_data_archive7
BANKBARODA,BANKBARODA,Bank of Baroda,historic_data_archive7
BPCL,BPCL,Bharat Petroleum Corporation Limited,historic_data_archive7
KICL,KICL,Kalyani Investment Company Limited,historic_data_archive7
ROSSARI,ROSSARI,Rossari Biotech Limited,historic_data_archive7
ANMOL,ANMOL,Anmol India Limited,historic_data_archive7
AXITA,AXITA,Axita Cotton Limited,historic_data_archive7
NOVAAGRI,NOVAAGRI,Nova Agritech Limited,historic_data_archive7
RAYMONDLSL,RAYMONDLSL,Raymond Lifestyle Limited,historic_data_archive7
AZAD,AZAD,Azad Engineering Limited,historic_data_archive7
BOROSCI,BOROSCI,Borosil Scientific Limited,historic_data_archive7
FINOPB,FINOPB,Fino Payments Bank Limited,historic_data_archive7
BOROLTD,BOROLTD,Borosil Limited,historic_data_archive7
FIRSTCRY,FIRSTCRY,Brainbees Solutions Limited,historic_data_archive7
WEL,WEL,Wonder Electricals Limited,historic_data_archive7
EMIL,EMIL,Electronics Mart India Limited,historic_data_archive7
CORONA,CORONA,CORONA Remedies Limited,historic_data_archive7
HINDUNILVR,HINDUNILVR,Hindustan Unilever Limited,historic_data_archive7
HUDCO,HUDCO,Housing & Urban Development Corporation Limited,historic_data_archive7
AJANTPHARM,AJANTPHARM,Ajanta Pharma Limited,historic_data_archive7
BOMDYEING,BOMDYEING,Bombay Dyeing & Mfg Company Limited,historic_data_archive7
PRIMESECU,PRIMESECU,Prime Securities Limited,historic_data_archive7
BSHSL,NAN,Bombay Super Hybrid Seeds Limited,historic_data_archive7
ARVIND,ARVIND,Arvind Limited,historic_data_archive7
PTL,PTL,PTL Enterprises Limited,historic_data_archive7
ARVSMART,ARVSMART,Arvind SmartSpaces Limited,historic_data_archive7
AERONEU,AERONEU,Aeroflex Neu Limited,historic_data_archive7
SOTL,SOTL,Savita Oil Technologies Limited,historic_data_archive7
RELINFRA,RELINFRA,Reliance Infrastructure Limited,historic_data_archive7
GAEL,GAEL,Gujarat Ambuja Exports Limited,historic_data_archive7
KARURVYSYA,KARURVYSYA,Karur Vysya Bank Limited,historic_data_archive7
UNIENTER,UNIENTER,Uniphos Enterprises Limited,historic_data_archive7
CEWATER,CEWATER,Concord Enviro Systems Limited,historic_data_archive7
HINDALCO,HINDALCO,Hindalco Industries Limited,historic_data_archive7
TVTODAY,TVTODAY,TV Today Network Limited,historic_data_archive7
IFCI,IFCI,IFCI Limited,historic_data_archive7
CINEVISTA,CINEVISTA,Cinevista Limited,historic_data_archive7
JAMNAAUTO,JAMNAAUTO,Jamna Auto Industries Limited,historic_data_archive7
JASH,JASH,Jash Engineering Limited,historic_data_archive7
JUBLCPL,JUBLCPL,Jubilant Agri and Consumer Products Limited,historic_data_archive7
RETAIL,RETAIL,JHS Svendgaard Retail Ventures Limited,historic_data_archive7
MAXESTATES,MAXESTATES,Max Estates Limited,historic_data_archive7
VLEGOV,VLEGOV,VL E-Governance & IT Solutions Limited,historic_data_archive7
DGCONTENT,DGCONTENT,Digicontent Limited,historic_data_archive7
GODIGIT,GODIGIT,Go Digit General Insurance Limited,historic_data_archive7
BRIGHOTEL,BRIGHOTEL,Brigade Hotel Ventures Limited,historic_data_archive7
ALIVUS,ALIVUS,Alivus Life Sciences Limited,historic_data_archive7
COHANCE,COHANCE,Cohance Lifesciences Limited,historic_data_archive7
DRCSYSTEMS,DRCSYSTEMS,DRC Systems India Limited,historic_data_archive7
UNIVPHOTO,UNIVPHOTO,Universus Photo Imagings Limited,historic_data_archive7
CHEMCON,CHEMCON,Chemcon Speciality Chemicals Limited,historic_data_archive7
HDFCBANK,HDFCBANK,HDFC Bank Limited,historic_data_archive7
MAYURUNIQ,MAYURUNIQ,Mayur Uniquoters Ltd,historic_data_archive7
SUZLON,SUZLON,Suzlon Energy Limited,historic_data_archive7
TREEHOUSE,TREEHOUSE,Tree House Education & Accessories Limited,historic_data_archive7
DHAMPURSUG,DHAMPURSUG,Dhampur Sugar Mills Limited,historic_data_archive7
ESCORTS,ESCORTS,Escorts Kubota Limited,historic_data_archive7
GTL,GTL,GTL Limited,historic_data_archive7
IVP,IVP,IVP Limited,historic_data_archive7
VIJAYA,VIJAYA,Vijaya Diagnostic Centre Limited,historic_data_archive7
SUNPHARMA,SUNPHARMA,Sun Pharmaceutical Industries Limited,historic_data_archive7
PARAS,PARAS,Paras Defence and Space Technologies Limited,historic_data_archive7
ADOR,ADOR,Ador Welding Limited,historic_data_archive7
NELCO,NELCO,NELCO Limited,historic_data_archive7
FCL,FCL,Fineotex Chemical Limited,historic_data_archive7
RIIL,RIIL,Reliance Industrial Infrastructure Limited,historic_data_archive7
MUTHOOTMF,MUTHOOTMF,Muthoot Microfin Limited,historic_data_archive7
GRASIM,GRASIM,Grasim Industries Limited,historic_data_archive7
GILLANDERS,GILLANDERS,Gillanders Arbuthnot & Company Limited,historic_data_archive7
NIBL,NIBL,NRB Industrial Bearings Limited,historic_data_archive7
JAGSNPHARM,JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,historic_data_archive7
VHLTD,VHLTD,Viceroy Hotels Limited,historic_data_archive7
NAVINFLUOR,NAVINFLUOR,Navin Fluorine International Limited,historic_data_archive7
HIMATSEIDE,HIMATSEIDE,Himatsingka Seide Limited,historic_data_archive7
WOCKPHARMA,WOCKPHARMA,Wockhardt Limited,historic_data_archive7
NAHARCAP,NAHARCAP,Nahar Capital and Financial Services Limited,historic_data_archive7
SBC,SBC,SBC Exports Limited,historic_data_archive7
KPITTECH,KPITTECH,KPIT Technologies Limited,historic_data_archive7
PAR,NAN,Par Drugs And Chemicals Limited,historic_data_archive7
ETHOSLTD,ETHOSLTD,Ethos Limited,historic_data_archive7
STYL,STYL,Seshaasai Technologies Limited,historic_data_archive7
PPL,PPL,Prakash Pipes Limited,historic_data_archive7
ELIN,ELIN,Elin Electronics Limited,historic_data_archive7
BBTC,BBTC,The Bombay Burmah Trading Corporation Limited,historic_data_archive7
IVC,IVC,IL&FS Investment Managers Limited,historic_data_archive7
BALAMINES,BALAMINES,Balaji Amines Limited,historic_data_archive7
RML,RML,Rane (Madras) Limited,historic_data_archive7
VSSL,VSSL,Vardhman Special Steels Limited,historic_data_archive7
VAKRANGEE,VAKRANGEE,Vakrangee Limited,historic_data_archive7
WINDMACHIN,WINDMACHIN,Windsor Machines Limited,historic_data_archive7
CAMLINFINE,CAMLINFINE,Camlin Fine Sciences Limited,historic_data_archive7
BESTAGRO,BESTAGRO,Best Agrolife Limited,historic_data_archive7
INDHOTEL,INDHOTEL,The Indian Hotels Company Limited,historic_data_archive7
IRFC,IRFC,Indian Railway Finance Corporation Limited,historic_data_archive7
ODIGMA,ODIGMA,Odigma Consultancy Solutions Limited,historic_data_archive7
VIPIND,VIPIND,VIP Industries Limited,historic_data_archive7
ABREL,ABREL,Aditya Birla Real Estate Limited,historic_data_archive7
KEEPLEARN,KEEPLEARN,DSJ Keep Learning Limited,historic_data_archive7
CYIENTDLM,CYIENTDLM,Cyient DLM Limited,historic_data_archive7
IVALUE,IVALUE,Ivalue Infosolutions Limited,historic_data_archive7
REFEX,REFEX,Refex Industries Limited,historic_data_archive7
SANOFI,SANOFI,Sanofi India Limited,historic_data_archive7
ZENITHEXPO,ZENITHEXPO,Zenith Exports Limited,historic_data_archive7
CIPLA,CIPLA,Cipla Limited,historic_data_archive7
SIMPLEXINF,SIMPLEXINF,Simplex Infrastructures Limited,historic_data_archive7
LAOPALA,LAOPALA,La Opala RG Limited,historic_data_archive7
HINDWAREAP,HINDWAREAP,Hindware Home Innovation Limited,historic_data_archive7
RATNAVEER,RATNAVEER,Ratnaveer Precision Engineering Limited,historic_data_archive7
IGCL,IGCL,Indogulf Cropsciences Limited,historic_data_archive7
SBGLP,SBGLP,Suratwwala Business Group Limited,historic_data_archive7
HPIL,HPIL,Hindprakash Industries Limited,historic_data_archive7
BHARATCOAL,BHARATCOAL,Bharat Coking Coal Limited,historic_data_archive7
LIKHITHA,LIKHITHA,Likhitha Infrastructure Limited,historic_data_archive7
NAVNETEDUL,NAVNETEDUL,Navneet Education Limited,historic_data_archive7
KHANDSE,KHANDSE,Khandwala Securities Limited,historic_data_archive7
FLEXITUFF,FLEXITUFF,Flexituff Ventures International Limited,historic_data_archive7
DEVIT,DEVIT,Dev Information Technology Limited,historic_data_archive7
INDIANCARD,INDIANCARD,Indian Card Clothing Company Limited,historic_data_archive7
FORTIS,FORTIS,Fortis Healthcare Limited,historic_data_archive7
SBIN,SBIN,State Bank of India,historic_data_archive7
ALICON,ALICON,Alicon Castalloy Limited,historic_data_archive7
POCL,POCL,Pondy Oxides & Chemicals Limited,historic_data_archive7
EQUITASBNK,EQUITASBNK,Equitas Small Finance Bank Limited,historic_data_archive7
TRIDENT,TRIDENT,Trident Limited,historic_data_archive7
AEROENTER,AEROENTER,Aeroflex Enterprises Limited,historic_data_archive7
TPHQ,TPHQ,Teamo Productions HQ Limited,historic_data_archive7
INDGN,INDGN,Indegene Limited,historic_data_archive7
EICHERMOT,EICHERMOT,Eicher Motors Limited,historic_data_archive7
HAL,HAL,Hindustan Aeronautics Limited,historic_data_archive7
WONDERLA,WONDERLA,Wonderla Holidays Limited,historic_data_archive7
INOXWIND,INOXWIND,Inox Wind Limited,historic_data_archive7
CGPOWER,CGPOWER,CG Power and Industrial Solutions Limited,historic_data_archive7
CANTABIL,CANTABIL,Cantabil Retail India Limited,historic_data_archive7
GLAND,GLAND,Gland Pharma Limited,historic_data_archive7
EMBDL,EMBDL,Embassy Developments Limited,historic_data_archive7
ECOSMOBLTY,ECOSMOBLTY,Ecos (India) Mobility & Hospitality Limited,historic_data_archive7
OSIAHYPER,NAN,Osia Hyper Retail Limited,historic_data_archive7
INDIQUBE,INDIQUBE,Indiqube Spaces Limited,historic_data_archive7
LAXMIINDIA,LAXMIINDIA,Laxmi India Finance Limited,historic_data_archive7
GEMAROMA,GEMAROMA,Gem Aromatics Limited,historic_data_archive7
SHANTIGOLD,SHANTIGOLD,Shanti Gold International Limited,historic_data_archive7
SHREECEM,SHREECEM,SHREE CEMENT LIMITED,historic_data_archive7
COMPINFO,COMPINFO,Compuage Infocom Limited,historic_data_archive7
JAICORPLTD,JAICORPLTD,Jai Corp Limited,historic_data_archive7
INSECTICID,INSECTICID,Insecticides (India) Limited,historic_data_archive7
BILVYAPAR,BILVYAPAR,BIL VYAPAR LIMITED,historic_data_archive7
MENONBE,MENONBE,Menon Bearings Limited,historic_data_archive7
UGARSUGAR,UGARSUGAR,The Ugar Sugar Works Limited,historic_data_archive7
APCL,APCL,Anjani Portland Cement Limited,historic_data_archive7
EPIGRAL,EPIGRAL,Epigral Limited,historic_data_archive7
SUNDRMBRAK,SUNDRMBRAK,Sundaram Brake Linings Limited,historic_data_archive7
ASALCBR,ASALCBR,Associated Alcohols & Breweries Ltd.,historic_data_archive7
SONACOMS,SONACOMS,Sona BLW Precision Forgings Limited,historic_data_archive7
COMSYN,COMSYN,Commercial Syn Bags Limited,historic_data_archive7
PRAJIND,PRAJIND,Praj Industries Limited,historic_data_archive7
PARACABLES,PARACABLES,Paramount Communications Limited,historic_data_archive7
WIPRO,WIPRO,Wipro Limited,historic_data_archive7
