date,sentiment_mean,positive_count,negative_count,article_count,source
2014-11-05,-0.0304,0,0,1,historic_data_indic_finance
2016-09-02,-0.23209999999999997,0,0,1,historic_data_indic_finance
2016-10-07,0.003199999999999998,0,0,1,historic_data_indic_finance
2017-03-21,0.13460000000000003,0,0,1,historic_data_indic_finance
2017-03-25,-0.007549999999999999,0,0,2,historic_data_indic_finance
2017-11-28,0.006900000000000003,0,0,1,historic_data_indic_finance
2017-12-08,0.8716,1,0,1,historic_data_indic_finance
2018-06-26,0.016300000000000002,0,0,1,historic_data_indic_finance
2020-03-13,0.9333,1,0,1,historic_data_indic_finance
2020-09-01,0.124,0,0,1,historic_data_indic_finance
2021-01-01,-0.0028902439024390257,2,2,41,historic_data_indic_finance
2021-01-29,-0.9267,0,1,1,historic_data_indic_finance
2021-03-15,0.8225,1,0,1,historic_data_indic_finance
2021-05-23,0.6551,1,0,1,historic_data_indic_finance
2021-06-14,0.5516,1,0,1,historic_data_indic_finance
2021-10-29,-0.003599999999999999,0,0,1,historic_data_indic_finance
2021-11-15,0.5988333333333333,2,0,3,historic_data_indic_finance
2022-02-08,-0.9771,0,1,1,historic_data_indic_finance
2022-02-23,0.1575,0,0,1,historic_data_indic_finance
2022-03-08,0.0497,0,0,1,historic_data_indic_finance
2022-03-22,0.0144,0,0,1,historic_data_indic_finance
2022-04-14,0.16290000000000002,0,0,1,historic_data_indic_finance
2022-04-29,-0.4605,0,1,1,historic_data_indic_finance
2022-05-16,0.41326666666666667,1,0,3,historic_data_indic_finance
2022-05-17,0.2981666666666667,1,0,3,historic_data_indic_finance
2022-05-26,0.06960000000000001,0,0,1,historic_data_indic_finance
2022-06-07,-0.3431,1,2,3,historic_data_indic_finance
2022-08-22,0.0404,0,0,1,historic_data_indic_finance
2022-08-26,0.1246,0,0,1,historic_data_indic_finance
2022-09-10,0.8336,3,0,3,historic_data_indic_finance
2022-09-16,0.21520000000000003,1,0,2,historic_data_indic_finance
2022-09-19,0.9487,1,0,1,historic_data_indic_finance
2022-09-21,0.12154999999999999,0,0,2,historic_data_indic_finance
2022-09-22,0.0631,0,0,1,historic_data_indic_finance
2022-09-28,0.0718,0,0,1,historic_data_indic_finance
2022-10-16,0.7407,1,0,1,historic_data_indic_finance
2022-10-25,-0.78415,0,2,2,historic_data_indic_finance
2022-11-11,-0.022799999999999997,0,0,1,historic_data_indic_finance
2022-11-24,0.9266,1,0,1,historic_data_indic_finance
2022-12-21,0.033299999999999996,0,0,1,historic_data_indic_finance
2023-01-25,0.0508,0,0,1,historic_data_indic_finance
2023-01-27,-0.9698,0,2,2,historic_data_indic_finance
2023-02-01,-0.9608,0,1,1,historic_data_indic_finance
2023-02-02,0.025299999999999996,0,0,1,historic_data_indic_finance
2023-02-24,0.9097,1,0,1,historic_data_indic_finance
2023-05-23,-0.7796,0,1,1,historic_data_indic_finance
2023-05-24,0.8944,1,0,1,historic_data_indic_finance
2023-06-12,0.8396,1,0,1,historic_data_indic_finance
2023-06-19,-0.031799999999999995,0,0,1,historic_data_indic_finance
2023-08-01,0.661,1,0,1,historic_data_indic_finance
2023-08-03,0.0445,0,0,1,historic_data_indic_finance
2023-08-10,-0.03500000000000001,0,0,1,historic_data_indic_finance
2023-09-27,-0.8783,0,1,1,historic_data_indic_finance
2023-10-05,0.056100000000000004,0,0,1,historic_data_indic_finance
2023-10-09,0.05410000000000001,0,0,1,historic_data_indic_finance
2023-10-27,0.5339,1,0,1,historic_data_indic_finance
2023-11-23,0.0938,0,0,1,historic_data_indic_finance
2023-11-24,0.9217,1,0,1,historic_data_indic_finance
2023-12-22,0.8733,1,0,1,historic_data_indic_finance
2024-02-02,0.07100000000000001,0,0,1,historic_data_indic_finance
2024-02-06,0.0582,0,0,1,historic_data_indic_finance
2024-02-19,0.943,1,0,1,historic_data_indic_finance
2024-03-21,0.9098,1,0,1,historic_data_indic_finance
2024-04-09,0.6769,1,0,1,historic_data_indic_finance
2024-04-13,0.7274,1,0,1,historic_data_indic_finance
2024-04-23,0.11112608695652174,7,5,23,historic_data_indic_finance
2024-04-25,-0.7607,0,1,1,historic_data_indic_finance
2024-04-28,-0.1422,0,0,1,historic_data_indic_finance
2024-05-17,0.0441,0,0,1,historic_data_indic_finance
2024-05-27,0.7527,1,0,1,historic_data_indic_finance
2024-05-31,0.09,0,0,1,historic_data_indic_finance
2024-06-03,0.46485,1,0,2,historic_data_indic_finance
2024-06-04,-0.4613,0,1,2,historic_data_indic_finance
2024-06-07,-0.74125,0,2,2,historic_data_indic_finance
2024-07-03,0.0040999999999999995,0,0,1,historic_data_indic_finance
2024-07-04,0.917,1,0,1,historic_data_indic_finance
2024-07-22,0.7954,1,0,1,historic_data_indic_finance
2024-07-30,0.0715,0,0,1,historic_data_indic_finance
2024-08-01,0.8767,1,0,1,historic_data_indic_finance
2024-08-02,0.8945,1,0,1,historic_data_indic_finance
2024-08-05,0.892,1,0,1,historic_data_indic_finance
2024-08-16,0.9137,1,0,1,historic_data_indic_finance
2024-08-22,0.1891,0,0,1,historic_data_indic_finance
2024-09-10,-0.9359,0,1,1,historic_data_indic_finance
2024-09-26,-0.918925,0,4,4,historic_data_indic_finance
2024-09-30,0.009400000000000002,0,0,1,historic_data_indic_finance
2024-10-01,0.7303,1,0,1,historic_data_indic_finance
2024-10-22,0.012799999999999999,0,0,1,historic_data_indic_finance
2024-10-30,0.073,0,0,1,historic_data_indic_finance
2024-10-31,0.6775,2,0,2,historic_data_indic_finance
2024-11-07,0.121,0,0,1,historic_data_indic_finance
2024-11-15,-0.639,0,1,1,historic_data_indic_finance
2024-11-21,-0.9704,0,1,1,historic_data_indic_finance
2024-11-22,-0.3337,0,0,1,historic_data_indic_finance
2024-11-23,0.9175,1,0,1,historic_data_indic_finance
2024-11-24,0.0838,0,0,1,historic_data_indic_finance
2024-11-28,-0.8752,0,3,3,historic_data_indic_finance
2024-11-29,0.8468500000000001,2,0,2,historic_data_indic_finance
2024-12-04,0.9188000000000001,2,0,2,historic_data_indic_finance
2024-12-06,0.9009,1,0,1,historic_data_indic_finance
2024-12-11,0.0175,0,0,1,historic_data_indic_finance
2024-12-18,0.527,1,0,2,historic_data_indic_finance
2024-12-22,0.8806,1,0,1,historic_data_indic_finance
2024-12-23,0.3050333333333333,1,0,3,historic_data_indic_finance
2024-12-25,0.2049,0,0,1,historic_data_indic_finance
2024-12-26,0.3622,0,0,1,historic_data_indic_finance
2024-12-30,-0.9496,0,1,1,historic_data_indic_finance
2024-12-31,0.44789999999999996,1,0,2,historic_data_indic_finance
2025-01-02,0.135,0,0,1,historic_data_indic_finance
2025-01-03,0.4931,1,0,1,historic_data_indic_finance
2025-01-09,0.763,1,0,1,historic_data_indic_finance
