symbol,first_date,last_date,nonzero_count,source,source_file,date
ABB,2008-01-31,2010-08-31,33,historic_data_constituents_nifty50,summary.csv,2010-08-31
ACC,2008-01-31,2017-08-31,120,historic_data_constituents_nifty50,summary.csv,2017-08-31
ADANIENT,2022-09-30,2025-08-31,36,historic_data_constituents_nifty50,summary.csv,2025-08-31
ADANIPORTS,2015-09-28,2025-08-31,120,historic_data_constituents_nifty50,summary.csv,2025-08-31
AMBUJACEM,2008-01-31,2018-02-28,126,historic_data_constituents_nifty50,summary.csv,2018-02-28
APOLLOHOSP,2022-03-31,2025-08-31,42,historic_data_constituents_nifty50,summary.csv,2025-08-31
ASIANPAINT,2012-04-01,2025-08-31,165,historic_data_constituents_nifty50,summary.csv,2025-08-31
AUROPHARMA,2016-04-01,2018-02-28,24,historic_data_constituents_nifty50,summary.csv,2018-02-28
AXISBANK,2009-04-01,2025-08-31,201,historic_data_constituents_nifty50,summary.csv,2025-08-31
BAJAJAUTO,2008-01-31,2025-08-31,185,historic_data_constituents_nifty50,summary.csv,2025-08-31
BAJAJFINSV,2018-04-01,2025-08-31,90,historic_data_constituents_nifty50,summary.csv,2025-08-31
BAJFINANCE,2017-10-03,2025-08-31,96,historic_data_constituents_nifty50,summary.csv,2025-08-31
BANKBARODA,2012-04-01,2017-08-31,69,historic_data_constituents_nifty50,summary.csv,2017-08-31
BEL,2024-10-01,2025-08-31,12,historic_data_constituents_nifty50,summary.csv,2025-08-31
BHARTIARTL,2008-01-31,2025-08-31,216,historic_data_constituents_nifty50,summary.csv,2025-08-31
BHEL,2008-01-31,2017-02-28,114,historic_data_constituents_nifty50,summary.csv,2017-02-28
BOSCHLTD,2015-05-29,2018-02-28,34,historic_data_constituents_nifty50,summary.csv,2018-02-28
BPCL,2008-01-31,2025-02-28,210,historic_data_constituents_nifty50,summary.csv,2025-02-28
BRITANNIA,2019-04-01,2025-02-28,72,historic_data_constituents_nifty50,summary.csv,2025-02-28
CAIRN,2008-01-31,2016-02-29,102,historic_data_constituents_nifty50,summary.csv,2016-02-29
CIPLA,2008-01-31,2025-08-31,216,historic_data_constituents_nifty50,summary.csv,2025-08-31
COALINDIA,2011-10-01,2025-08-31,171,historic_data_constituents_nifty50,summary.csv,2025-08-31
DIVISLAB,2020-09-25,2024-08-31,48,historic_data_constituents_nifty50,summary.csv,2024-08-31
DLF,2008-04-01,2015-02-28,88,historic_data_constituents_nifty50,summary.csv,2015-02-28
DRREDDY,2008-01-31,2025-08-31,191,historic_data_constituents_nifty50,summary.csv,2025-08-31
EICHERMOT,2016-04-01,2025-08-31,114,historic_data_constituents_nifty50,summary.csv,2025-08-31
ETERNAL,2025-04-01,2025-08-31,6,historic_data_constituents_nifty50,summary.csv,2025-08-31
GAIL,2008-01-31,2021-02-28,162,historic_data_constituents_nifty50,summary.csv,2021-02-28
GLAXO,2008-01-31,2008-02-29,2,historic_data_constituents_nifty50,summary.csv,2008-02-29
GRASIM,2008-01-31,2025-08-31,194,historic_data_constituents_nifty50,summary.csv,2025-08-31
HCLTECH,2008-01-31,2025-08-31,216,historic_data_constituents_nifty50,summary.csv,2025-08-31
HDFC,2008-01-31,2023-05-31,189,historic_data_constituents_nifty50,summary.csv,2023-05-31
HDFCBANK,2008-01-31,2025-08-31,216,historic_data_constituents_nifty50,summary.csv,2025-08-31
HDFCLIFE,2020-07-31,2025-08-31,62,historic_data_constituents_nifty50,summary.csv,2025-08-31
HEROMOTOCO,2008-01-31,2025-08-31,216,historic_data_constituents_nifty50,summary.csv,2025-08-31
HINDALCO,2008-01-31,2025-08-31,216,historic_data_constituents_nifty50,summary.csv,2025-08-31
HINDPETRO,2017-10-03,2019-02-28,18,historic_data_constituents_nifty50,summary.csv,2019-02-28
HINDUNILVR,2008-01-31,2025-08-31,216,historic_data_constituents_nifty50,summary.csv,2025-08-31
IBULHSGFIN,2017-04-01,2019-08-26,30,historic_data_constituents_nifty50,summary.csv,2019-08-26
ICICIBANK,2008-01-31,2025-08-31,216,historic_data_constituents_nifty50,summary.csv,2025-08-31
IDEA,2008-01-31,2017-02-28,57,historic_data_constituents_nifty50,summary.csv,2017-02-28
IDFC,2009-10-01,2015-04-30,71,historic_data_constituents_nifty50,summary.csv,2015-04-30
INDUSINDBK,2013-04-01,2025-08-31,151,historic_data_constituents_nifty50,summary.csv,2025-08-31
INFRATEL,2016-04-01,2020-08-30,54,historic_data_constituents_nifty50,summary.csv,2020-08-30
INFY,2008-01-31,2025-08-31,216,historic_data_constituents_nifty50,summary.csv,2025-08-31
IOC,2017-04-01,2022-02-28,60,historic_data_constituents_nifty50,summary.csv,2022-02-28
ITC,2008-01-31,2025-08-31,216,historic_data_constituents_nifty50,summary.csv,2025-08-31
JINDALSTEL,2009-06-17,2015-02-28,72,historic_data_constituents_nifty50,summary.csv,2015-02-28
JIOFIN,2025-04-01,2025-08-31,6,historic_data_constituents_nifty50,summary.csv,2025-08-31
JPASSOCIAT,2009-10-01,2014-02-27,57,historic_data_constituents_nifty50,summary.csv,2014-02-27
JSWSTEEL,2018-10-01,2025-08-31,84,historic_data_constituents_nifty50,summary.csv,2025-08-31
KOTAKBANK,2010-04-01,2025-08-31,189,historic_data_constituents_nifty50,summary.csv,2025-08-31
LT,2008-01-31,2025-08-31,216,historic_data_constituents_nifty50,summary.csv,2025-08-31
LTIM,2023-07-01,2024-08-31,15,historic_data_constituents_nifty50,summary.csv,2024-08-31
LUPIN,2012-10-01,2018-08-31,74,historic_data_constituents_nifty50,summary.csv,2018-08-31
M&M,2008-01-31,2025-08-31,216,historic_data_constituents_nifty50,summary.csv,2025-08-31
MARUTI,2008-01-31,2025-08-31,216,historic_data_constituents_nifty50,summary.csv,2025-08-31
MCDOWELL-N,2014-03-28,2014-08-31,6,historic_data_constituents_nifty50,summary.csv,2014-08-31
NATIONALUM,2008-01-31,2009-08-30,21,historic_data_constituents_nifty50,summary.csv,2009-08-30
NESTLEIND,2019-08-27,2025-08-31,72,historic_data_constituents_nifty50,summary.csv,2025-08-31
NMDC,2013-04-01,2015-08-31,31,historic_data_constituents_nifty50,summary.csv,2015-08-31
NTPC,2008-01-31,2025-08-31,216,historic_data_constituents_nifty50,summary.csv,2025-08-31
ONGC,2008-01-31,2025-08-31,216,historic_data_constituents_nifty50,summary.csv,2025-08-31
PNB,2008-01-31,2016-02-29,102,historic_data_constituents_nifty50,summary.csv,2016-02-29
POWERGRID,2008-04-01,2025-08-31,214,historic_data_constituents_nifty50,summary.csv,2025-08-31
RANBAXY,2008-01-31,2014-02-27,78,historic_data_constituents_nifty50,summary.csv,2014-02-27
RCOM,2008-01-31,2012-02-29,51,historic_data_constituents_nifty50,summary.csv,2012-02-29
RELCAPITAL,2009-01-12,2011-08-31,33,historic_data_constituents_nifty50,summary.csv,2011-08-31
RELIANCE,2008-01-31,2025-08-31,216,historic_data_constituents_nifty50,summary.csv,2025-08-31
RELINFRA,2008-01-31,2013-09-30,72,historic_data_constituents_nifty50,summary.csv,2013-09-30
RPL,2008-01-31,2009-05-31,18,historic_data_constituents_nifty50,summary.csv,2009-05-31
RPOWER,2008-10-01,2012-02-29,43,historic_data_constituents_nifty50,summary.csv,2012-02-29
SAIL,2008-01-31,2012-09-30,58,historic_data_constituents_nifty50,summary.csv,2012-09-30
SATYAMCOMP,2008-01-31,2008-12-31,12,historic_data_constituents_nifty50,summary.csv,2008-12-31
SBILIFE,2020-09-25,2025-08-31,60,historic_data_constituents_nifty50,summary.csv,2025-08-31
SBIN,2008-01-31,2025-08-31,216,historic_data_constituents_nifty50,summary.csv,2025-08-31
SESAGOA,2010-10-01,2013-09-30,39,historic_data_constituents_nifty50,summary.csv,2013-09-30
SHREECEM,2020-03-19,2022-08-31,30,historic_data_constituents_nifty50,summary.csv,2022-08-31
SHRIRAMFIN,2024-03-28,2025-08-31,18,historic_data_constituents_nifty50,summary.csv,2025-08-31
SIEMENS,2008-01-31,2013-03-31,65,historic_data_constituents_nifty50,summary.csv,2013-03-31
STER,2008-01-31,2012-09-30,58,historic_data_constituents_nifty50,summary.csv,2012-09-30
SUNPHARMA,2008-01-31,2025-08-31,216,historic_data_constituents_nifty50,summary.csv,2025-08-31
