date,nifty_pe,nifty_pb,nifty_dividend_yield,nifty_close,nifty_eps,source,source_file
1999-01-01,11.62,2.07,1.83,890.8,77.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-01-04,11.72,2.08,1.81,897.8,77.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-01-05,11.84,2.11,1.79,907.2,77.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-01-06,12.11,2.16,1.75,928.25,77.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-01-07,12.46,2.22,1.71,954.7,77.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-01-08,12.92,2.3,1.64,990.05,77.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-01-11,12.86,2.29,1.65,985.6,77.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-01-12,12.59,2.24,1.69,964.45,77.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-01-13,12.54,2.23,1.69,961.2,77.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-01-14,12.46,2.22,1.7,954.75,77.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-01-15,12.19,2.17,1.74,934.3,77.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-01-18,12.33,2.19,1.72,944.9,77.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-01-19,12.06,2.15,1.76,924.1,77.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-01-21,12.84,2.29,1.65,967.2,75.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-01-22,12.71,2.26,1.67,957.05,75.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-01-25,12.61,2.24,1.68,949.8,75.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-01-27,12.9,2.29,1.65,971.3,75.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-01-28,12.68,2.26,1.68,955.1,75.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-01-29,12.83,2.28,1.66,966.2,75.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-02-01,12.48,2.22,1.7,940.15,75.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-02-02,12.36,2.2,1.72,931.2,75.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-02-03,12.64,2.25,1.69,952.4,75.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-02-04,12.48,2.22,1.71,939.7,75.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-02-05,12.43,2.21,1.71,936.3,75.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-02-08,12.17,2.17,1.75,916.5,75.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-02-09,12.28,2.18,1.73,924.75,75.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-02-10,12.74,2.27,1.67,959.45,75.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-02-11,12.75,2.27,1.67,960.05,75.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-02-12,12.88,2.29,1.62,970.25,75.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-02-15,12.67,2.26,1.64,954.55,75.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-02-16,12.73,2.27,1.63,958.9,75.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-02-17,12.87,2.29,1.64,969.05,75.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-02-18,12.92,2.3,1.63,973.45,75.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-02-19,12.96,2.31,1.63,976.3,75.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-02-22,12.66,2.25,1.66,953.85,75.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-02-23,12.61,2.24,1.67,949.65,75.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-02-24,12.72,2.26,1.66,957.65,75.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-02-25,12.68,2.26,1.66,954.3,75.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-02-26,12.51,2.23,1.66,941.2,75.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-02-27,13.04,2.32,1.59,981.3,75.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-03-01,13.5,2.4,1.54,1015.8,75.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-03-03,13.98,2.49,1.49,1051.85,75.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-03-04,13.83,2.46,1.5,1041.2,75.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-03-05,14.01,2.49,1.48,1054.45,75.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-03-08,14.25,2.53,1.46,1072.1,75.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
1999-03-09,14.33,2.55,1.45,1078.35,75.0,nse_historic_data_pe_pb_div,NIFTY 50_Historical_PE_PB_DIV.csv
