Date,Time,NiftySpot,CallOI,PutOI,PCR
01_04_23,10:00 AM,18190.25,161,97,0.729385493
01_05_23,1:00 PM,18022,195,126,0.488245125
01_05_23,1:03 PM,18020.95,194,128,0.491285706
01_05_23,1:06 PM,18019.5,193,129,0.488652798
01_05_23,1:09 PM,18022,191,132,0.491346207
01_05_23,1:12 PM,18024.25,191,132,0.491422524
01_05_23,1:15 PM,18024,190,133,0.493946326
01_05_23,1:18 PM,18026,189,134,0.493376558
01_05_23,1:21 PM,18013.7,187,134,0.489416653
01_05_23,1:24 PM,18013.7,187,134,0.489416653
01_05_23,1:27 PM,17985.45,181,130,0.486030334
01_05_23,1:30 PM,17966.05,172,115,0.464355637
01_05_23,1:33 PM,17979.3,172,115,0.464355637
01_05_23,1:36 PM,17988.5,170,110,0.459670877
01_05_23,1:39 PM,17988.5,170,110,0.459670877
01_05_23,1:42 PM,17978.9,166,117,0.466834642
01_05_23,1:45 PM,17971.7,166,118,0.467322186
01_05_23,1:48 PM,17982.55,164,121,0.472828337
01_05_23,1:51 PM,17989.05,165,122,0.474234724
01_05_23,1:54 PM,17974.95,169,122,0.473351454
01_05_23,1:57 PM,17974.95,169,122,0.473351454
01_05_23,2:00 PM,18013.3,170,125,0.485421166
01_05_23,2:03 PM,18017.2,172,122,0.488334336
01_05_23,2:06 PM,18011.75,175,131,0.495190272
01_05_23,2:09 PM,18008.15,176,138,0.504019488
01_05_23,2:12 PM,17995.05,178,140,0.507826407
01_05_23,2:15 PM,17995.05,178,140,0.507826407
01_05_23,2:18 PM,17988,175,147,0.525770623
01_05_23,2:21 PM,17988,175,147,0.525770623
01_05_23,2:24 PM,17999.45,177,151,0.527596588
01_05_23,2:27 PM,18007.95,179,159,0.534726607
01_05_23,2:30 PM,18016,179,158,0.532331019
01_05_23,2:33 PM,18016,179,158,0.532331019
01_05_23,2:36 PM,18034.4,174,150,0.529920645
01_05_23,2:39 PM,18034.4,174,150,0.529920645
01_05_23,2:42 PM,18034.4,174,150,0.529920645
01_05_23,2:45 PM,18031.15,177,156,0.533976732
01_05_23,2:48 PM,18031.05,177,155,0.541140298
01_05_23,2:51 PM,18052,171,155,0.551580812
01_05_23,2:54 PM,18043.9,169,145,0.551141108
01_05_23,2:57 PM,18045.4,169,148,0.56036175
01_05_23,3:00 PM,18036.6,169,153,0.568251261
01_05_23,3:03 PM,18053.05,169,153,0.561468792
01_05_23,3:06 PM,18055.85,169,153,0.561468792
01_05_23,3:09 PM,18055.45,169,153,0.560766692
01_05_23,3:12 PM,18061.05,187,100,0.540751994
01_05_23,3:15 PM,18064.05,188,90,0.528561326
01_05_23,3:18 PM,18064.05,188,90,0.528561326
01_05_23,3:21 PM,18070.6,207,79,0.508055421
01_05_23,3:24 PM,18071.15,192,76,0.500795578
01_05_23,3:27 PM,18052.1,159,72,0.501340722
01_05_23,3:30 PM,18070,119,71,0.5256917
01_05_23,10:00 AM,18108.95,204,125,0.601832461
01_05_23,10:03 AM,18111.65,206,125,0.602597572
01_05_23,10:06 AM,18119.5,208,127,0.601304657
01_05_23,10:09 AM,18103.55,210,128,0.6
01_05_23,10:12 AM,18098,211,124,0.585256983
01_05_23,10:15 AM,18117,212,124,0.57968254
01_05_23,10:18 AM,18136.1,211,121,0.585737026
01_05_23,10:21 AM,18139.4,208,125,0.600180972
01_05_23,10:24 AM,18138.4,208,129,0.60755739
01_05_23,10:27 AM,18147.8,209,130,0.607915973
01_05_23,10:30 AM,18138.55,207,134,0.619741721
01_05_23,10:33 AM,18129.35,208,134,0.62242432
01_05_23,10:36 AM,18132,212,138,0.623207631
01_05_23,10:39 AM,18131.7,212,140,0.622698423
01_05_23,10:42 AM,18129.6,212,141,0.6243658
01_05_23,10:45 AM,18131.2,212,143,0.625366706
01_05_23,10:48 AM,18121.5,213,144,0.624114797
01_05_23,10:51 AM,18117.8,216,146,0.622421248
01_05_23,10:54 AM,18110.1,217,144,0.617221641
01_05_23,10:57 AM,18102.45,217,142,0.610743599
01_05_23,11:00 AM,18098.05,218,140,0.608190709
