"Index Name","Date","Open","High","Low","Close"
"NIFTY 50","17 Jul 2026","24127.6","24367.3","24099.05","24334.30"
"NIFTY 50","16 Jul 2026","24142.1","24186.5","24050","24072.75"
"NIFTY 50","15 Jul 2026","24085.85","24220.35","24010.55","24078.50"
"NIFTY 50","14 Jul 2026","24068","24157.1","24023.7","24052.05"
"NIFTY 50","13 Jul 2026","24039.4","24259.8","24000.2","24211.00"
"NIFTY 50","10 Jul 2026","24124.7","24228.45","24120.35","24206.90"
"NIFTY 50","09 Jul 2026","23928.95","24134.7","23925.7","23962.80"
"NIFTY 50","08 Jul 2026","24259.55","24300","23805.2","23882.05"
"NIFTY 50","07 Jul 2026","24464.45","24530.9","24348.95","24398.70"
"NIFTY 50","06 Jul 2026","24306.85","24458.65","24287.1","24430.35"
"NIFTY 50","03 Jul 2026","24375.65","24378.15","24252.35","24270.85"
"NIFTY 50","02 Jul 2026","24062.2","24194.55","24058.8","24175.70"
"NIFTY 50","01 Jul 2026","23897.65","24049.9","23895.1","24005.85"
"NIFTY 50","30 Jun 2026","24032.05","24035.55","23829.2","23865.75"
"NIFTY 50","29 Jun 2026","24061.75","24120","23924.55","23946.25"
"NIFTY 50","25 Jun 2026","24125.85","24261.6","24039","24056.00"
"NIFTY 50","24 Jun 2026","23795.8","24090.05","23789.25","24021.65"
"NIFTY 50","23 Jun 2026","24071.3","24135.5","23784.95","23824.10"
"NIFTY 50","22 Jun 2026","24106.6","24168.05","24073.15","24102.90"
"NIFTY 50","19 Jun 2026","23991.2","24047.2","23901.9","24013.10"
"NIFTY 50","18 Jun 2026","24073.8","24189.25","24036.95","24168.00"
"NIFTY 50","17 Jun 2026","24044.5","24108.2","23969.7","24085.70"
"NIFTY 50","16 Jun 2026","23923.9","24002.6","23888.2","23989.15"
"NIFTY 50","15 Jun 2026","23984.85","24011.4","23817.8","23853.90"
"NIFTY 50","12 Jun 2026","23412.55","23645.35","23313.9","23622.90"
"NIFTY 50","11 Jun 2026","23104.4","23327.45","23072.05","23161.60"
"NIFTY 50","10 Jun 2026","23233.95","23425.35","23184.6","23214.95"
"NIFTY 50","09 Jun 2026","23259.05","23279.4","23104.45","23242.10"
"NIFTY 50","08 Jun 2026","23080.7","23267.3","23070.15","23123.00"
"NIFTY 50","05 Jun 2026","23478.95","23516.35","23282.65","23366.70"
"NIFTY 50","04 Jun 2026","23282.45","23465.3","23247.3","23416.55"
"NIFTY 50","03 Jun 2026","23415.95","23459.65","23151.5","23405.60"
"NIFTY 50","02 Jun 2026","23229.15","23556.95","23229.15","23483.55"
"NIFTY 50","01 Jun 2026","23654.5","23733.7","23357.95","23382.60"
"NIFTY 50","29 May 2026","23902.15","24002.8","23484.75","23547.75"
"NIFTY 50","27 May 2026","23880.35","23983.2","23858.25","23907.15"
"NIFTY 50","26 May 2026","24004.1","24089.8","23885.45","23913.70"
"NIFTY 50","25 May 2026","23940.25","24054.45","23922.85","24031.70"
"NIFTY 50","22 May 2026","23671.2","23835.65","23671","23719.30"
"NIFTY 50","21 May 2026","23830.05","23859.9","23596.6","23654.70"
"NIFTY 50","20 May 2026","23457.25","23690.9","23397.3","23659.00"
"NIFTY 50","19 May 2026","23675.3","23782.3","23587.2","23618.00"
"NIFTY 50","18 May 2026","23482.2","23695.65","23317.1","23649.95"
"NIFTY 50","15 May 2026","23731.4","23839.3","23610.3","23643.50"
"NIFTY 50","14 May 2026","23530.25","23777.2","23426.55","23689.60"
"NIFTY 50","13 May 2026","23362.45","23582.95","23262.55","23412.60"
"NIFTY 50","12 May 2026","23722.6","23757.55","23348.4","23379.55"
"NIFTY 50","11 May 2026","23970.1","23997.45","23799.1","23815.85"
"NIFTY 50","08 May 2026","24233.65","24253.8","24126.65","24176.15"
"NIFTY 50","07 May 2026","24398.5","24482.1","24284","24326.65"
"NIFTY 50","06 May 2026","24171","24356.5","23997.9","24330.95"
"NIFTY 50","05 May 2026","24052.6","24081.7","23882.05","24032.80"
"NIFTY 50","04 May 2026","24063.55","24290.2","24004.75","24119.30"
"NIFTY 50","30 Apr 2026","23996.95","24087.45","23796.85","23997.55"
"NIFTY 50","29 Apr 2026","24096.9","24334.7","24059.95","24177.65"
"NIFTY 50","28 Apr 2026","24049.9","24181.8","23957.05","23995.70"
"NIFTY 50","27 Apr 2026","23945.45","24130.7","23936.2","24092.70"
"NIFTY 50","24 Apr 2026","24100.55","24206","23813.65","23897.95"
"NIFTY 50","23 Apr 2026","24202.35","24310.2","24134.8","24173.05"
"NIFTY 50","22 Apr 2026","24470.85","24515.95","24352.9","24378.10"
"NIFTY 50","21 Apr 2026","24374.55","24601.7","24354.9","24576.60"
"NIFTY 50","20 Apr 2026","24391.5","24480.65","24241.25","24364.85"
"NIFTY 50","17 Apr 2026","24165.9","24371.9","24096.05","24353.55"
"NIFTY 50","16 Apr 2026","24385.2","24400.95","24102.8","24196.75"
"NIFTY 50","15 Apr 2026","24163.8","24280.9","24145.8","24231.30"
"NIFTY 50","13 Apr 2026","23589.6","23907.4","23555.6","23842.65"
"NIFTY 50","10 Apr 2026","23880.55","24074.05","23856.35","24050.60"
"NIFTY 50","09 Apr 2026","23909.05","23990.75","23682.8","23775.10"
"NIFTY 50","08 Apr 2026","23855.15","24025.15","23828.5","23997.35"
