date,source,variant,granularity,equity_buy,equity_sell,equity_net,debt_buy,debt_sell,debt_net
2024-01-31,nse_mf_sebi_monthly,monthly,monthly,214680.41,191669.78,23010.63,183609.65,205251.54,-21641.89
2024-02-29,nse_mf_sebi_monthly,monthly,monthly,240390.35,218407.2,21983.15,176966.67,220149.38,-43182.71
2024-03-31,nse_mf_sebi_monthly,monthly,monthly,183966.14,138961.76,45004.38,203684.68,247393.68,-43709.0
2024-04-30,nse_mf_sebi_monthly,monthly,monthly,206765.05,173941.35,32823.7,141518.3,126989.36,14528.94
2024-05-31,nse_mf_sebi_monthly,monthly,monthly,249910.78,202244.53,47666.25,181256.67,225322.86,-44066.19
2024-06-30,nse_mf_sebi_monthly,monthly,monthly,284168.21,254855.28,29312.93,176175.44,181087.85,-4912.41
2024-07-31,nse_mf_sebi_monthly,monthly,monthly,212986.59,192385.25,20601.34,89698.44,96310.67,-6612.23
2024-08-31,nse_mf_sebi_monthly,monthly,monthly,238162.82,202766.11,35396.71,156265.13,205548.8,-49283.67
2024-09-30,nse_mf_sebi_monthly,monthly,monthly,254737.0,224353.94,30383.06,198782.15,229765.22,-30983.07
2024-10-31,nse_mf_sebi_monthly,monthly,monthly,257671.69,167931.29,89740.4,206698.6,229702.57,-23003.97
2024-11-30,nse_mf_sebi_monthly,monthly,monthly,176251.14,144096.25,32154.89,160663.43,193974.82,-33311.39
2024-12-31,nse_mf_sebi_monthly,monthly,monthly,225384.75,196225.67,29159.08,261214.12,314746.34,-53532.22
2025-01-31,nse_mf_sebi_monthly,monthly,monthly,266085.06,208094.64,57990.42,201563.65,257169.36,-55605.71
2025-02-28,nse_mf_sebi_monthly,monthly,monthly,226200.32,178266.51,47933.81,208887.45,271241.9,-62354.45
2025-03-31,nse_mf_sebi_monthly,monthly,monthly,205762.8,199837.13,5925.67,279855.2,355359.35,-75504.15
2025-04-30,nse_mf_sebi_monthly,monthly,monthly,199117.59,181055.05,18062.54,171966.68,195820.71,-23854.03
2025-05-31,nse_mf_sebi_monthly,monthly,monthly,233615.0,177312.98,56302.02,246890.04,332456.05,-85566.01
2025-06-30,nse_mf_sebi_monthly,monthly,monthly,259550.17,214031.21,45518.96,278737.29,309648.63,-30911.34
2025-07-31,nse_mf_sebi_monthly,monthly,monthly,259181.18,209976.39,49204.79,299018.75,316313.29,-17294.54
2025-08-31,nse_mf_sebi_monthly,monthly,monthly,218235.93,152542.27,65693.66,250916.34,314692.49,-63776.15
2025-09-30,nse_mf_sebi_monthly,monthly,monthly,239865.48,193423.38,46442.1,344672.83,400619.3,-55946.47
2025-10-31,nse_mf_sebi_monthly,monthly,monthly,233719.81,210656.93,23062.88,276795.82,283244.0,-6448.18
2025-11-30,nse_mf_sebi_monthly,monthly,monthly,235438.19,195487.43,39950.76,277537.21,348585.62,-71048.41
2025-12-31,nse_mf_sebi_monthly,monthly,monthly,271755.96,233968.86,37787.1,380692.03,415424.28,-34732.25
2026-01-31,nse_mf_sebi_monthly,monthly,monthly,292191.4,249836.55,42354.85,282985.87,373792.78,-90806.91
2026-02-28,nse_mf_sebi_monthly,monthly,monthly,281473.34,270293.29,11180.05,356944.37,447613.86,-90669.49
2026-03-31,nse_mf_sebi_monthly,monthly,monthly,337683.32,238937.33,98745.99,366675.1,496535.78,-129860.68
2026-04-30,nse_mf_sebi_monthly,monthly,monthly,286465.09,255871.12,30593.97,278389.34,276656.99,1732.35
2026-05-31,nse_mf_sebi_monthly,monthly,monthly,301551.28,239116.1,62435.18,320673.22,397993.77,-77320.55
2026-06-30,nse_mf_sebi_monthly,monthly,monthly,330779.75,280136.63,50643.12,481296.24,572771.19,-91474.95
