Date,Equity Gross Purchase,Equity Gross Sales,Equity Net Purchase / Sales,Debt Gross Purchase,Debt Gross Sales,Debt Net Purchase / Sales
June 2026,330779.75,280136.63,50643.12,481296.24,572771.19,-91474.95
May 2026,301551.28,239116.10,62435.18,320673.22,397993.77,-77320.55
April 2026,286465.09,255871.12,30593.97,278389.34,276656.99,1732.35
March 2026,337683.32,238937.33,98745.99,366675.10,496535.78,-129860.68
February 2026,281473.34,270293.29,11180.05,356944.37,447613.86,-90669.49
January 2026,292191.40,249836.55,42354.85,282985.87,373792.78,-90806.91
December 2025,271755.96,233968.86,37787.10,380692.03,415424.28,-34732.25
November 2025,235438.19,195487.43,39950.76,277537.21,348585.62,-71048.41
October 2025,233719.81,210656.93,23062.88,276795.82,283244.00,-6448.18
September 2025,239865.48,193423.38,46442.10,344672.83,400619.30,-55946.47
August 2025,218235.93,152542.27,65693.66,250916.34,314692.49,-63776.15
July 2025,259181.18,209976.39,49204.79,299018.75,316313.29,-17294.54
June 2025,259550.17,214031.21,45518.96,278737.29,309648.63,-30911.34
May 2025,233615.00,177312.98,56302.02,246890.04,332456.05,-85566.01
April 2025,199117.59,181055.05,18062.54,171966.68,195820.71,-23854.03
March 2025,205762.80,199837.13,5925.67,279855.20,355359.35,-75504.15
February 2025,226200.32,178266.51,47933.81,208887.45,271241.90,-62354.45
January 2025,266085.06,208094.64,57990.42,201563.65,257169.36,-55605.71
December 2024,225384.75,196225.67,29159.08,261214.12,314746.34,-53532.22
November 2024,176251.14,144096.25,32154.89,160663.43,193974.82,-33311.39
October 2024,257671.69,167931.29,89740.40,206698.60,229702.57,-23003.97
September 2024,254737.00,224353.94,30383.06,198782.15,229765.22,-30983.07
August 2024,238162.82,202766.11,35396.71,156265.13,205548.80,-49283.67
July 2024,212986.59,192385.25,20601.34,89698.44,96310.67,-6612.23
June 2024,284168.21,254855.28,29312.93,176175.44,181087.85,-4912.41
May 2024,249910.78,202244.53,47666.25,181256.67,225322.86,-44066.19
April 2024,206765.05,173941.35,32823.70,141518.30,126989.36,14528.94
March 2024,183966.14,138961.76,45004.38,203684.68,247393.68,-43709.00
February 2024,240390.35,218407.20,21983.15,176966.67,220149.38,-43182.71
January 2024,214680.41,191669.78,23010.63,183609.65,205251.54,-21641.89
