"Index Name","Date","Open","High","Low","Close"
"NIFTY MIDSMALL FINANCIAL SERVICES","16 Jul 2026","22634.5","22665.9","22252.9","22270.75"
"NIFTY MIDSMALL FINANCIAL SERVICES","15 Jul 2026","22623.75","22772.5","22537.75","22617.40"
"NIFTY MIDSMALL FINANCIAL SERVICES","14 Jul 2026","22627.7","22691.2","22460.15","22529.75"
"NIFTY MIDSMALL FINANCIAL SERVICES","13 Jul 2026","22597.15","22767.4","22546.25","22739.00"
"NIFTY MIDSMALL FINANCIAL SERVICES","10 Jul 2026","22403.45","22751.95","22402.85","22728.85"
"NIFTY MIDSMALL FINANCIAL SERVICES","09 Jul 2026","21994.85","22326.5","21989.9","22290.75"
"NIFTY MIDSMALL FINANCIAL SERVICES","08 Jul 2026","22182.95","22382.15","21802.8","21945.40"
"NIFTY MIDSMALL FINANCIAL SERVICES","07 Jul 2026","22446.45","22457.75","22177.4","22340.90"
"NIFTY MIDSMALL FINANCIAL SERVICES","06 Jul 2026","22377.6","22461.35","22249.25","22425.70"
"NIFTY MIDSMALL FINANCIAL SERVICES","03 Jul 2026","22499.65","22499.85","22302.65","22372.60"
"NIFTY MIDSMALL FINANCIAL SERVICES","02 Jul 2026","22536.8","22567.25","22380.15","22409.70"
"NIFTY MIDSMALL FINANCIAL SERVICES","01 Jul 2026","22178.35","22501.2","22171.6","22473.25"
"NIFTY MIDSMALL FINANCIAL SERVICES","30 Jun 2026","22193.45","22267.65","22107.7","22147.10"
"NIFTY MIDSMALL FINANCIAL SERVICES","29 Jun 2026","22164.95","22308.05","22000.15","22116.80"
"NIFTY MIDSMALL FINANCIAL SERVICES","25 Jun 2026","22404.15","22462.15","22155.55","22177.55"
"NIFTY MIDSMALL FINANCIAL SERVICES","24 Jun 2026","22187.45","22400.75","22095.65","22319.20"
"NIFTY MIDSMALL FINANCIAL SERVICES","23 Jun 2026","22604.15","22607.7","22180.65","22217.05"
"NIFTY MIDSMALL FINANCIAL SERVICES","22 Jun 2026","22559.1","22632","22507.95","22578.90"
"NIFTY MIDSMALL FINANCIAL SERVICES","19 Jun 2026","22369.7","22495.3","22322.55","22472.15"
"NIFTY MIDSMALL FINANCIAL SERVICES","18 Jun 2026","22373.05","22516.5","22329.6","22426.95"
"NIFTY MIDSMALL FINANCIAL SERVICES","17 Jun 2026","22380.95","22422.25","22244.55","22333.90"
"NIFTY MIDSMALL FINANCIAL SERVICES","16 Jun 2026","22309.45","22331.65","22115.4","22319.75"
"NIFTY MIDSMALL FINANCIAL SERVICES","15 Jun 2026","22119.65","22323.6","22068.1","22242.70"
"NIFTY MIDSMALL FINANCIAL SERVICES","12 Jun 2026","21341.55","21775.2","21211.5","21749.50"
"NIFTY MIDSMALL FINANCIAL SERVICES","11 Jun 2026","21105.5","21243.15","20980.35","21036.10"
"NIFTY MIDSMALL FINANCIAL SERVICES","10 Jun 2026","21655.1","21674.05","21144.05","21211.35"
"NIFTY MIDSMALL FINANCIAL SERVICES","09 Jun 2026","21288.3","21652.55","21283","21616.30"
"NIFTY MIDSMALL FINANCIAL SERVICES","08 Jun 2026","21084.3","21399.15","21036.25","21172.30"
"NIFTY MIDSMALL FINANCIAL SERVICES","05 Jun 2026","21482","21722.05","21235.1","21389.75"
"NIFTY MIDSMALL FINANCIAL SERVICES","04 Jun 2026","21341.4","21554.3","21265.85","21468.05"
"NIFTY MIDSMALL FINANCIAL SERVICES","03 Jun 2026","21480.9","21492.3","20967.95","21406.25"
"NIFTY MIDSMALL FINANCIAL SERVICES","02 Jun 2026","21439.8","21540.15","21179.45","21480.80"
"NIFTY MIDSMALL FINANCIAL SERVICES","01 Jun 2026","22074.05","22118.9","21530.45","21588.05"
"NIFTY MIDSMALL FINANCIAL SERVICES","29 May 2026","22415.4","22445.6","21940.05","21990.95"
"NIFTY MIDSMALL FINANCIAL SERVICES","27 May 2026","22632","22712.05","22329.15","22367.25"
"NIFTY MIDSMALL FINANCIAL SERVICES","26 May 2026","22465.6","22646.55","22406.05","22600.35"
"NIFTY MIDSMALL FINANCIAL SERVICES","25 May 2026","22289.75","22469.2","22269.9","22413.70"
"NIFTY MIDSMALL FINANCIAL SERVICES","22 May 2026","22056.65","22100.45","21922.5","22060.85"
