"Index Name","Date","Open","High","Low","Close"
"NIFTY MIDSMALL HEALTHCARE","16 Jul 2026","51594.25","51675.65","51289.05","51447.20"
"NIFTY MIDSMALL HEALTHCARE","15 Jul 2026","51423.3","51696.45","51288.05","51426.40"
"NIFTY MIDSMALL HEALTHCARE","14 Jul 2026","51113.4","51384.5","51014.15","51221.15"
"NIFTY MIDSMALL HEALTHCARE","13 Jul 2026","50863.7","51214.6","50686.3","51029.60"
"NIFTY MIDSMALL HEALTHCARE","10 Jul 2026","50838.65","51073.65","50454.9","51021.35"
"NIFTY MIDSMALL HEALTHCARE","09 Jul 2026","49963.25","51011.4","49935.9","50631.75"
"NIFTY MIDSMALL HEALTHCARE","08 Jul 2026","50476.65","51038.55","49618.85","49861.10"
"NIFTY MIDSMALL HEALTHCARE","07 Jul 2026","51082.75","51219.15","50492.85","50565.80"
"NIFTY MIDSMALL HEALTHCARE","06 Jul 2026","51065.25","51205.05","50761.95","50961.50"
"NIFTY MIDSMALL HEALTHCARE","03 Jul 2026","50468","51106.25","50450.55","50900.65"
"NIFTY MIDSMALL HEALTHCARE","02 Jul 2026","50009.8","50318.45","49735.4","50269.25"
"NIFTY MIDSMALL HEALTHCARE","01 Jul 2026","50348.4","50810.65","49781.75","49846.00"
"NIFTY MIDSMALL HEALTHCARE","30 Jun 2026","49581.6","50367","49478.05","50169.15"
"NIFTY MIDSMALL HEALTHCARE","29 Jun 2026","49050","49637.15","48975.6","49450.50"
"NIFTY MIDSMALL HEALTHCARE","25 Jun 2026","49364.75","49445.9","48910.5","48968.90"
"NIFTY MIDSMALL HEALTHCARE","24 Jun 2026","49394.25","49729.2","49170.25","49201.00"
"NIFTY MIDSMALL HEALTHCARE","23 Jun 2026","48972.15","49836.85","48925.85","49301.95"
"NIFTY MIDSMALL HEALTHCARE","22 Jun 2026","48658.2","48828.65","48386.8","48776.25"
"NIFTY MIDSMALL HEALTHCARE","19 Jun 2026","47925.05","48571.95","47906.9","48505.00"
