"Index Name","Date","Open","High","Low","Close"
"NIFTY MIDSMALL IT & TELECOM","16 Jul 2026","9645.85","9759.25","9621.45","9630.65"
"NIFTY MIDSMALL IT & TELECOM","15 Jul 2026","9586.4","9672.25","9552.85","9606.05"
"NIFTY MIDSMALL IT & TELECOM","14 Jul 2026","9693.55","9735.7","9598.3","9617.85"
"NIFTY MIDSMALL IT & TELECOM","13 Jul 2026","9500.85","9746.75","9473.75","9708.15"
"NIFTY MIDSMALL IT & TELECOM","10 Jul 2026","9462.05","9575.35","9435.85","9561.65"
"NIFTY MIDSMALL IT & TELECOM","09 Jul 2026","9248.9","9364.5","9189.9","9328.05"
"NIFTY MIDSMALL IT & TELECOM","08 Jul 2026","9371.1","9396.75","9188.5","9228.95"
"NIFTY MIDSMALL IT & TELECOM","07 Jul 2026","9320.35","9410.55","9277.5","9396.35"
"NIFTY MIDSMALL IT & TELECOM","06 Jul 2026","9309.25","9350.55","9273.95","9298.75"
"NIFTY MIDSMALL IT & TELECOM","03 Jul 2026","9272.65","9376.35","9268.35","9295.75"
"NIFTY MIDSMALL IT & TELECOM","02 Jul 2026","9072.5","9225.4","9072.5","9196.85"
"NIFTY MIDSMALL IT & TELECOM","01 Jul 2026","9131.3","9149.6","8977.8","9007.65"
"NIFTY MIDSMALL IT & TELECOM","30 Jun 2026","9265.8","9283.75","9149.8","9157.50"
"NIFTY MIDSMALL IT & TELECOM","29 Jun 2026","9367.2","9376.15","9207.6","9237.45"
"NIFTY MIDSMALL IT & TELECOM","25 Jun 2026","9519.8","9553.75","9427.3","9445.10"
"NIFTY MIDSMALL IT & TELECOM","24 Jun 2026","9396.7","9502","9388.65","9462.25"
"NIFTY MIDSMALL IT & TELECOM","23 Jun 2026","9502.05","9514.3","9370.15","9400.85"
"NIFTY MIDSMALL IT & TELECOM","22 Jun 2026","9527.55","9606.65","9504.85","9523.20"
"NIFTY MIDSMALL IT & TELECOM","19 Jun 2026","9285.8","9475.6","9230.7","9450.90"
"NIFTY MIDSMALL IT & TELECOM","18 Jun 2026","9503.5","9528.95","9420.4","9497.45"
"NIFTY MIDSMALL IT & TELECOM","17 Jun 2026","9502.5","9528.8","9458.25","9489.00"
"NIFTY MIDSMALL IT & TELECOM","16 Jun 2026","9413.05","9481.7","9363.75","9467.35"
"NIFTY MIDSMALL IT & TELECOM","15 Jun 2026","9444.6","9458.4","9339.9","9350.10"
"NIFTY MIDSMALL IT & TELECOM","12 Jun 2026","9296.5","9310.75","9220.2","9273.35"
"NIFTY MIDSMALL IT & TELECOM","11 Jun 2026","9150.35","9267.7","9057.25","9175.90"
"NIFTY MIDSMALL IT & TELECOM","10 Jun 2026","9398.45","9402.5","9232.2","9250.55"
"NIFTY MIDSMALL IT & TELECOM","09 Jun 2026","9512.35","9519.85","9335.65","9399.55"
"NIFTY MIDSMALL IT & TELECOM","08 Jun 2026","9429.6","9537.2","9384.4","9423.00"
"NIFTY MIDSMALL IT & TELECOM","05 Jun 2026","9674.4","9713.35","9541.3","9556.85"
"NIFTY MIDSMALL IT & TELECOM","04 Jun 2026","9527.6","9653.9","9482.9","9606.90"
"NIFTY MIDSMALL IT & TELECOM","03 Jun 2026","9721.9","9722.05","9490.1","9572.25"
"NIFTY MIDSMALL IT & TELECOM","02 Jun 2026","9608.65","9836.45","9596.95","9793.55"
"NIFTY MIDSMALL IT & TELECOM","01 Jun 2026","9585.1","9743.45","9571.15","9595.35"
"NIFTY MIDSMALL IT & TELECOM","29 May 2026","9556.75","9644.75","9478.4","9511.50"
"NIFTY MIDSMALL IT & TELECOM","27 May 2026","9488.05","9527","9458.7","9471.50"
"NIFTY MIDSMALL IT & TELECOM","26 May 2026","9402.2","9492","9375.6","9472.35"
"NIFTY MIDSMALL IT & TELECOM","25 May 2026","9346.65","9410.95","9271.35","9386.45"
"NIFTY MIDSMALL IT & TELECOM","22 May 2026","9244.7","9283.7","9175.5","9245.30"
"NIFTY MIDSMALL IT & TELECOM","21 May 2026","9269.2","9305","9203.3","9225.45"
"NIFTY MIDSMALL IT & TELECOM","20 May 2026","9144.15","9273.5","9095.9","9218.00"
"NIFTY MIDSMALL IT & TELECOM","19 May 2026","9021","9286.95","9021","9182.70"
"NIFTY MIDSMALL IT & TELECOM","18 May 2026","8779.35","9001.8","8715.9","8973.85"
"NIFTY MIDSMALL IT & TELECOM","15 May 2026","8819.1","8935","8807.7","8832.80"
"NIFTY MIDSMALL IT & TELECOM","14 May 2026","8860.6","8861.9","8643.45","8783.95"
"NIFTY MIDSMALL IT & TELECOM","13 May 2026","8788.25","8877.4","8708.15","8828.95"
"NIFTY MIDSMALL IT & TELECOM","12 May 2026","9020.2","9020.2","8749.5","8766.80"
"NIFTY MIDSMALL IT & TELECOM","11 May 2026","8953.65","9101.85","8893.25","9040.90"
"NIFTY MIDSMALL IT & TELECOM","08 May 2026","8819.55","8987.7","8792.35","8945.25"
"NIFTY MIDSMALL IT & TELECOM","07 May 2026","8888.2","8920.55","8784.65","8813.90"
"NIFTY MIDSMALL IT & TELECOM","06 May 2026","8730.75","8842.05","8711.4","8828.75"
"NIFTY MIDSMALL IT & TELECOM","05 May 2026","8532.2","8670.25","8491.15","8566.50"
"NIFTY MIDSMALL IT & TELECOM","04 May 2026","8655.6","8656.9","8450.3","8521.75"
"NIFTY MIDSMALL IT & TELECOM","30 Apr 2026","8525.05","8569.8","8441.45","8532.15"
"NIFTY MIDSMALL IT & TELECOM","29 Apr 2026","8545.65","8630.95","8498.3","8520.25"
"NIFTY MIDSMALL IT & TELECOM","28 Apr 2026","8480.85","8527.05","8457.5","8490.70"
"NIFTY MIDSMALL IT & TELECOM","27 Apr 2026","8286.25","8457.05","8284.5","8445.25"
"NIFTY MIDSMALL IT & TELECOM","24 Apr 2026","8485.25","8488.65","8182.45","8244.70"
"NIFTY MIDSMALL IT & TELECOM","23 Apr 2026","8508.2","8542","8458.8","8484.90"
"NIFTY MIDSMALL IT & TELECOM","22 Apr 2026","8627.85","8636.3","8463.7","8504.05"
"NIFTY MIDSMALL IT & TELECOM","21 Apr 2026","8631.65","8745.45","8602","8700.10"
"NIFTY MIDSMALL IT & TELECOM","20 Apr 2026","8778.6","8783.2","8600.75","8626.90"
"NIFTY MIDSMALL IT & TELECOM","17 Apr 2026","8730.6","8818.05","8664.8","8757.60"
"NIFTY MIDSMALL IT & TELECOM","16 Apr 2026","8729.6","8840.5","8688.15","8740.15"
"NIFTY MIDSMALL IT & TELECOM","15 Apr 2026","8589.7","8682.9","8573.7","8651.75"
"NIFTY MIDSMALL IT & TELECOM","13 Apr 2026","8380.15","8524.2","8310.45","8486.15"
"NIFTY MIDSMALL IT & TELECOM","10 Apr 2026","8579.25","8580.05","8448.9","8522.65"
"NIFTY MIDSMALL IT & TELECOM","09 Apr 2026","8517.05","8558.65","8403.4","8538.35"
"NIFTY MIDSMALL IT & TELECOM","08 Apr 2026","8554","8554","8392.85","8507.60"
"NIFTY MIDSMALL IT & TELECOM","07 Apr 2026","8201.8","8354.55","8152.75","8314.40"
"NIFTY MIDSMALL IT & TELECOM","06 Apr 2026","8169.35","8257.8","8140.6","8245.20"
