"Index Name","Date","Open","High","Low","Close"
"NIFTY OIL & GAS","16 Jul 2026","11196.2","11298.25","11172.4","11188.15"
"NIFTY OIL & GAS","15 Jul 2026","11120.75","11221.9","11118.45","11178.85"
"NIFTY OIL & GAS","14 Jul 2026","11135.9","11158.05","11078.45","11102.40"
"NIFTY OIL & GAS","13 Jul 2026","11106.6","11192.5","11085.8","11176.55"
"NIFTY OIL & GAS","10 Jul 2026","11113.3","11201.35","11094.5","11177.45"
"NIFTY OIL & GAS","09 Jul 2026","11026.5","11109.1","10969.05","11032.85"
"NIFTY OIL & GAS","08 Jul 2026","11157.75","11177.95","10962.25","10998.55"
"NIFTY OIL & GAS","07 Jul 2026","11287.65","11327.95","11214.85","11248.90"
"NIFTY OIL & GAS","06 Jul 2026","11149.9","11287.3","11105.3","11261.10"
"NIFTY OIL & GAS","03 Jul 2026","11191.05","11192.15","11119.45","11136.20"
"NIFTY OIL & GAS","02 Jul 2026","11088.5","11170.6","11068.25","11132.50"
"NIFTY OIL & GAS","01 Jul 2026","11058.45","11097.8","11011.95","11084.15"
"NIFTY OIL & GAS","30 Jun 2026","11040.85","11069.2","10952.25","11030.25"
"NIFTY OIL & GAS","29 Jun 2026","11101.05","11124.35","10963.7","11012.05"
"NIFTY OIL & GAS","25 Jun 2026","11305","11315.7","11116","11143.30"
"NIFTY OIL & GAS","24 Jun 2026","11168.85","11279.25","11131.4","11241.60"
"NIFTY OIL & GAS","23 Jun 2026","11293.65","11306.95","11149.55","11171.30"
"NIFTY OIL & GAS","22 Jun 2026","11237.15","11324.75","11193.65","11273.05"
"NIFTY OIL & GAS","19 Jun 2026","11287.95","11295.8","11135.35","11169.75"
"NIFTY OIL & GAS","18 Jun 2026","11319.25","11341.6","11240.05","11303.65"
"NIFTY OIL & GAS","17 Jun 2026","11334.3","11358.3","11271.45","11303.95"
"NIFTY OIL & GAS","16 Jun 2026","11234.5","11311.55","11180.35","11294.60"
"NIFTY OIL & GAS","15 Jun 2026","11250","11257.05","11162.15","11180.60"
"NIFTY OIL & GAS","12 Jun 2026","10888.35","11039.1","10791.85","11012.30"
"NIFTY OIL & GAS","11 Jun 2026","10775.05","10818.8","10740.55","10779.10"
"NIFTY OIL & GAS","10 Jun 2026","10968.35","11066.55","10788.2","10803.00"
"NIFTY OIL & GAS","09 Jun 2026","10983.45","11011.15","10901.75","10965.30"
"NIFTY OIL & GAS","08 Jun 2026","11009","11043.7","10906.1","10931.70"
"NIFTY OIL & GAS","05 Jun 2026","11172.8","11188.75","11080.05","11106.20"
"NIFTY OIL & GAS","04 Jun 2026","11066.7","11183.9","11065.7","11159.40"
"NIFTY OIL & GAS","03 Jun 2026","11129.85","11174.15","11056.65","11130.80"
"NIFTY OIL & GAS","02 Jun 2026","11084.15","11170.95","11034.25","11138.90"
"NIFTY OIL & GAS","01 Jun 2026","11257.65","11290.75","11148.5","11159.10"
"NIFTY OIL & GAS","29 May 2026","11586.75","11604.6","11137.65","11200.25"
"NIFTY OIL & GAS","27 May 2026","11486.1","11507.1","11394.7","11484.15"
"NIFTY OIL & GAS","26 May 2026","11502.6","11576.2","11480.65","11515.60"
"NIFTY OIL & GAS","25 May 2026","11512.35","11561.15","11483.95","11524.60"
"NIFTY OIL & GAS","22 May 2026","11366.8","11415.2","11319.55","11372.30"
"NIFTY OIL & GAS","21 May 2026","11395.85","11431.75","11339.6","11377.55"
"NIFTY OIL & GAS","20 May 2026","11127.1","11378.9","11074.9","11359.00"
"NIFTY OIL & GAS","19 May 2026","11189.7","11276.25","11161.05","11180.70"
"NIFTY OIL & GAS","18 May 2026","11205.85","11206.55","11071.45","11162.50"
"NIFTY OIL & GAS","15 May 2026","11452.1","11477.55","11229.25","11250.70"
"NIFTY OIL & GAS","14 May 2026","11530.65","11543.7","11382.15","11442.20"
"NIFTY OIL & GAS","13 May 2026","11318.1","11490.3","11270.55","11437.55"
"NIFTY OIL & GAS","12 May 2026","11347.35","11446.85","11275.05","11293.15"
"NIFTY OIL & GAS","11 May 2026","11526.55","11538.4","11323.45","11339.00"
"NIFTY OIL & GAS","08 May 2026","11658.85","11661.85","11554.15","11598.85"
"NIFTY OIL & GAS","07 May 2026","11755.7","11777.3","11657.8","11708.60"
"NIFTY OIL & GAS","06 May 2026","11754.1","11792.45","11600.85","11720.60"
"NIFTY OIL & GAS","05 May 2026","11734.7","11766.25","11577.8","11700.15"
"NIFTY OIL & GAS","04 May 2026","11740.75","11801.95","11698.5","11733.10"
"NIFTY OIL & GAS","30 Apr 2026","11714.8","11731.05","11554.9","11694.65"
"NIFTY OIL & GAS","29 Apr 2026","11738.65","11863","11713.05","11769.25"
"NIFTY OIL & GAS","28 Apr 2026","11479.85","11715.35","11465.05","11686.75"
"NIFTY OIL & GAS","27 Apr 2026","11326.35","11532.1","11316.8","11508.35"
"NIFTY OIL & GAS","24 Apr 2026","11426.4","11447.65","11293.2","11331.70"
"NIFTY OIL & GAS","23 Apr 2026","11447.4","11528.85","11401.35","11414.00"
"NIFTY OIL & GAS","22 Apr 2026","11411.95","11523.6","11400.15","11501.05"
"NIFTY OIL & GAS","21 Apr 2026","11426.5","11506.8","11426.5","11442.70"
"NIFTY OIL & GAS","20 Apr 2026","11402.65","11503.4","11318.55","11434.40"
"NIFTY OIL & GAS","17 Apr 2026","11272.05","11436.65","11244.65","11409.95"
"NIFTY OIL & GAS","16 Apr 2026","11349.75","11349.75","11202.3","11254.95"
"NIFTY OIL & GAS","15 Apr 2026","11186.95","11288.4","11155.25","11274.65"
"NIFTY OIL & GAS","13 Apr 2026","10952.85","11051.2","10893.55","11035.90"
"NIFTY OIL & GAS","10 Apr 2026","11131.75","11237","11128.2","11193.40"
"NIFTY OIL & GAS","09 Apr 2026","11106.65","11146.95","11024.05","11092.20"
"NIFTY OIL & GAS","08 Apr 2026","11065.3","11153.25","10985.1","11135.25"
"NIFTY OIL & GAS","07 Apr 2026","10622.1","10766.95","10583","10747.30"
"NIFTY OIL & GAS","06 Apr 2026","10863.25","10863.25","10580.95","10694.35"
"NIFTY OIL & GAS","02 Apr 2026","10838.5","10876.75","10610.3","10842.35"
"NIFTY OIL & GAS","01 Apr 2026","11095.6","11095.85","10904.2","10929.05"
"NIFTY OIL & GAS","30 Mar 2026","10720.75","10955.4","10696.2","10788.05"
"NIFTY OIL & GAS","27 Mar 2026","10987.6","11025.45","10808","10830.40"
"NIFTY OIL & GAS","25 Mar 2026","10977.95","11029.3","10925.95","10956.05"
"NIFTY OIL & GAS","24 Mar 2026","10919.6","10941.85","10771.6","10878.50"
"NIFTY OIL & GAS","23 Mar 2026","10910.55","10934.85","10715.65","10737.85"
"NIFTY OIL & GAS","20 Mar 2026","11057.4","11200.6","11013.7","11034.95"
"NIFTY OIL & GAS","19 Mar 2026","11074.35","11192.5","10930.25","10974.65"
"NIFTY OIL & GAS","18 Mar 2026","11149.85","11243.5","11126.95","11196.90"
"NIFTY OIL & GAS","17 Mar 2026","11135.15","11162.65","11040.85","11127.25"
"NIFTY OIL & GAS","16 Mar 2026","11248.5","11304.75","10985.4","11108.75"
"NIFTY OIL & GAS","13 Mar 2026","11506.15","11559.95","11260.15","11286.80"
"NIFTY OIL & GAS","12 Mar 2026","11444.45","11652.45","11350.15","11538.30"
"NIFTY OIL & GAS","11 Mar 2026","11518.3","11620.35","11450.35","11483.10"
"NIFTY OIL & GAS","10 Mar 2026","11611.9","11619.05","11423.6","11462.50"
"NIFTY OIL & GAS","09 Mar 2026","11610.65","11620.7","11383.6","11507.80"
"NIFTY OIL & GAS","06 Mar 2026","11862.95","11890.5","11763.25","11787.30"
"NIFTY OIL & GAS","05 Mar 2026","11672.2","11901.15","11668.25","11812.25"
"NIFTY OIL & GAS","04 Mar 2026","11828.6","11833.55","11597.3","11630.90"
"NIFTY OIL & GAS","02 Mar 2026","12085.4","12159.55","11888.05","12001.30"
"NIFTY OIL & GAS","27 Feb 2026","12262.1","12368.6","12215.5","12264.90"
"NIFTY OIL & GAS","26 Feb 2026","12198.2","12308.55","12167.95","12294.55"
"NIFTY OIL & GAS","25 Feb 2026","12252.05","12321.75","12135.1","12188.90"
"NIFTY OIL & GAS","24 Feb 2026","12129.8","12247.9","12107.1","12211.45"
"NIFTY OIL & GAS","23 Feb 2026","12149.6","12169.4","12076.45","12151.15"
"NIFTY OIL & GAS","20 Feb 2026","12033.75","12120.75","12014.95","12092.30"
"NIFTY OIL & GAS","19 Feb 2026","12191.85","12208.55","11989","12036.15"
"NIFTY OIL & GAS","18 Feb 2026","12083.2","12167.9","12038.55","12159.95"
"NIFTY OIL & GAS","17 Feb 2026","12074.55","12080","11944.95","12071.20"
"NIFTY OIL & GAS","16 Feb 2026","11963.95","12094.95","11932.25","12084.65"
"NIFTY OIL & GAS","13 Feb 2026","12120.75","12132.8","11958.15","11976.45"
"NIFTY OIL & GAS","12 Feb 2026","12371.05","12394.95","12137.8","12205.55"
"NIFTY OIL & GAS","11 Feb 2026","12303.8","12359.3","12230.7","12352.30"
"NIFTY OIL & GAS","10 Feb 2026","12286.85","12329.9","12235.6","12297.00"
"NIFTY OIL & GAS","09 Feb 2026","12250.5","12297.35","12203.9","12255.05"
"NIFTY OIL & GAS","06 Feb 2026","12139.75","12219.35","12079.95","12208.20"
"NIFTY OIL & GAS","05 Feb 2026","12214.55","12293.4","12083.35","12146.15"
"NIFTY OIL & GAS","04 Feb 2026","11937","12186.1","11920.4","12159.05"
"NIFTY OIL & GAS","03 Feb 2026","12094.85","12172.7","11769.45","11911.25"
"NIFTY OIL & GAS","02 Feb 2026","11440.15","11705.55","11401.45","11687.50"
"NIFTY OIL & GAS","01 Feb 2026","11776.25","11826.6","11407.15","11454.30"
"NIFTY OIL & GAS","30 Jan 2026","11809.9","11853","11710.45","11791.70"
"NIFTY OIL & GAS","29 Jan 2026","11797.2","11905.55","11752.7","11854.95"
"NIFTY OIL & GAS","28 Jan 2026","11429.9","11782.85","11413.35","11762.90"
"NIFTY OIL & GAS","27 Jan 2026","11341.05","11414.25","11237.35","11376.55"
"NIFTY OIL & GAS","23 Jan 2026","11477.2","11477.75","11292.6","11306.65"
"NIFTY OIL & GAS","22 Jan 2026","11472.1","11538.35","11403.7","11443.35"
"NIFTY OIL & GAS","21 Jan 2026","11348.4","11480.4","11220.75","11402.70"
"NIFTY OIL & GAS","20 Jan 2026","11555.05","11578.3","11342.2","11372.25"
"NIFTY OIL & GAS","19 Jan 2026","11708.25","11735.2","11511.15","11564.75"
"NIFTY OIL & GAS","16 Jan 2026","11715.7","11827.55","11689.85","11748.50"
"NIFTY OIL & GAS","14 Jan 2026","11625.05","11778.55","11614.2","11715.30"
"NIFTY OIL & GAS","13 Jan 2026","11734.55","11744.9","11584.75","11652.75"
"NIFTY OIL & GAS","12 Jan 2026","11624.6","11704","11474.4","11692.10"
"NIFTY OIL & GAS","09 Jan 2026","11564.45","11706.35","11563.5","11628.75"
"NIFTY OIL & GAS","08 Jan 2026","11887.5","11897.7","11562.2","11582.35"
"NIFTY OIL & GAS","07 Jan 2026","11995","12023.1","11901","11920.90"
"NIFTY OIL & GAS","06 Jan 2026","12186.4","12191.7","11891.05","12000.60"
"NIFTY OIL & GAS","05 Jan 2026","12374.3","12445.7","12175.85","12214.55"
"NIFTY OIL & GAS","02 Jan 2026","12249.7","12350.2","12243.6","12340.05"
"NIFTY OIL & GAS","01 Jan 2026","12261.5","12334.45","12196.8","12232.70"
"NIFTY OIL & GAS","31 Dec 2025","11924.95","12256.8","11924.9","12231.20"
"NIFTY OIL & GAS","30 Dec 2025","11966.6","12012.1","11902.1","11914.75"
