"Index Name","Date","Open","High","Low","Close"
"NIFTY PHARMA","16 Jul 2026","26060.9","26135.75","25936.35","26008.05"
"NIFTY PHARMA","15 Jul 2026","26027.75","26103.3","25950.1","26003.60"
"NIFTY PHARMA","14 Jul 2026","25640.5","26000.05","25637.6","25907.10"
"NIFTY PHARMA","13 Jul 2026","25613.8","25737.65","25468.85","25643.35"
"NIFTY PHARMA","10 Jul 2026","25681.7","25779.4","25444.2","25674.10"
"NIFTY PHARMA","09 Jul 2026","25422.4","25935.65","25382.55","25656.25"
"NIFTY PHARMA","08 Jul 2026","25669.7","25989.15","25308.95","25429.80"
"NIFTY PHARMA","07 Jul 2026","25874.4","26022.75","25645.9","25677.70"
"NIFTY PHARMA","06 Jul 2026","25805.85","25902.15","25695.85","25866.25"
"NIFTY PHARMA","03 Jul 2026","25402.6","25861.5","25399.9","25745.15"
"NIFTY PHARMA","02 Jul 2026","25301.8","25364.75","25160.3","25308.90"
"NIFTY PHARMA","01 Jul 2026","25416.9","25591.3","25133.25","25182.70"
"NIFTY PHARMA","30 Jun 2026","25274.75","25476.55","25173.05","25326.40"
"NIFTY PHARMA","29 Jun 2026","25098.9","25463.7","24978.05","25227.90"
"NIFTY PHARMA","25 Jun 2026","25066.9","25155.95","24948.25","24969.50"
"NIFTY PHARMA","24 Jun 2026","25052.75","25222.9","24999.5","25018.95"
"NIFTY PHARMA","23 Jun 2026","24863.9","25294.5","24838.8","24989.95"
"NIFTY PHARMA","22 Jun 2026","24558.75","24778.3","24468.4","24762.90"
"NIFTY PHARMA","19 Jun 2026","24276.15","24493.85","24274.4","24460.30"
"NIFTY PHARMA","18 Jun 2026","24173","24322.85","24135.2","24282.20"
"NIFTY PHARMA","17 Jun 2026","24198.75","24238.65","24035.45","24146.55"
"NIFTY PHARMA","16 Jun 2026","24272.2","24306.85","24020.55","24157.85"
"NIFTY PHARMA","15 Jun 2026","24551.65","24553.5","24198.15","24220.10"
"NIFTY PHARMA","12 Jun 2026","24526.5","24526.8","24274.5","24380.05"
"NIFTY PHARMA","11 Jun 2026","24131.65","24457.3","24094.4","24306.95"
"NIFTY PHARMA","10 Jun 2026","24313.8","24497.95","24119.6","24160.75"
"NIFTY PHARMA","09 Jun 2026","24208.15","24416.95","24171.55","24290.30"
"NIFTY PHARMA","08 Jun 2026","24090.15","24417.1","24059.65","24147.65"
"NIFTY PHARMA","05 Jun 2026","24285.45","24396.65","24154.25","24248.05"
"NIFTY PHARMA","04 Jun 2026","24042","24275.3","23883","24177.95"
"NIFTY PHARMA","03 Jun 2026","23978.05","24119.75","23829.6","24086.60"
"NIFTY PHARMA","02 Jun 2026","24102.95","24171.55","23796.65","24006.30"
"NIFTY PHARMA","01 Jun 2026","24547.85","24571.35","24148.85","24214.25"
"NIFTY PHARMA","29 May 2026","24796.3","24945.35","24218.5","24345.80"
"NIFTY PHARMA","27 May 2026","24747.5","24822.65","24608.45","24716.00"
"NIFTY PHARMA","26 May 2026","24647.25","24755.4","24552.55","24659.20"
"NIFTY PHARMA","25 May 2026","24615.15","24762.9","24543.75","24674.70"
"NIFTY PHARMA","22 May 2026","24960.75","24979.1","24519.75","24573.95"
"NIFTY PHARMA","21 May 2026","24994.1","25001","24782.65","24890.90"
"NIFTY PHARMA","20 May 2026","24807.05","25043.15","24775.45","24843.15"
"NIFTY PHARMA","19 May 2026","24771.3","25001.25","24754.3","24867.40"
"NIFTY PHARMA","18 May 2026","24617","24788.95","24436.25","24762.85"
"NIFTY PHARMA","15 May 2026","24644.95","24847.9","24557.55","24634.80"
"NIFTY PHARMA","14 May 2026","24151.65","24573.3","24137.75","24551.05"
"NIFTY PHARMA","13 May 2026","23785.35","24177.85","23768.9","23896.05"
"NIFTY PHARMA","12 May 2026","24177.3","24185.45","23816.4","23840.90"
"NIFTY PHARMA","11 May 2026","24008.2","24310.8","23877.4","24170.45"
"NIFTY PHARMA","08 May 2026","24043.45","24306.75","24030.65","24110.30"
"NIFTY PHARMA","07 May 2026","24153.15","24268.1","24095.3","24135.50"
"NIFTY PHARMA","06 May 2026","23743.2","24264.85","23640.75","24110.30"
"NIFTY PHARMA","05 May 2026","23525.9","23619","23379.1","23568.95"
"NIFTY PHARMA","04 May 2026","23371.3","23548.95","23296.1","23475.55"
"NIFTY PHARMA","30 Apr 2026","23191.95","23375.1","23054.85","23267.70"
"NIFTY PHARMA","29 Apr 2026","23273.75","23386.15","23179.95","23260.85"
"NIFTY PHARMA","28 Apr 2026","23155.65","23287.65","23090.75","23158.15"
"NIFTY PHARMA","27 Apr 2026","22648.6","23258.35","22637.25","23171.85"
"NIFTY PHARMA","24 Apr 2026","22923.7","22946.9","22537.2","22580.10"
"NIFTY PHARMA","23 Apr 2026","22443.95","23164.1","22365.35","22986.35"
"NIFTY PHARMA","22 Apr 2026","22398.55","22510.1","22314.35","22455.45"
"NIFTY PHARMA","21 Apr 2026","22454.1","22540.7","22423.65","22438.45"
"NIFTY PHARMA","20 Apr 2026","22544.8","22563.5","22307.2","22456.75"
"NIFTY PHARMA","17 Apr 2026","22473.2","22538.8","22390.5","22497.25"
"NIFTY PHARMA","16 Apr 2026","22577.55","22593","22304.35","22465.00"
"NIFTY PHARMA","15 Apr 2026","22321.1","22456.2","22142.5","22435.65"
"NIFTY PHARMA","13 Apr 2026","21971.7","22183.5","21846.05","22100.10"
"NIFTY PHARMA","10 Apr 2026","22127.8","22191.65","21932.8","22164.85"
"NIFTY PHARMA","09 Apr 2026","21954.8","22216.05","21953.75","22135.40"
"NIFTY PHARMA","08 Apr 2026","22203.5","22250.5","21829.6","21991.20"
"NIFTY PHARMA","07 Apr 2026","21765.5","22022.2","21595.4","21868.70"
"NIFTY PHARMA","06 Apr 2026","21779.75","21867.75","21464.8","21835.35"
"NIFTY PHARMA","02 Apr 2026","21689.95","21852","21149.9","21808.40"
"NIFTY PHARMA","01 Apr 2026","22531.6","22782.05","21909.35","22011.60"
"NIFTY PHARMA","30 Mar 2026","22412.9","22468.1","22205.9","22232.25"
"NIFTY PHARMA","27 Mar 2026","22612.7","22758.3","22484.05","22565.60"
"NIFTY PHARMA","25 Mar 2026","22381.35","22825.55","22294.2","22679.75"
"NIFTY PHARMA","24 Mar 2026","22305.95","22364.3","21993.95","22239.80"
"NIFTY PHARMA","23 Mar 2026","22461.8","22462.9","21983.7","22053.10"
"NIFTY PHARMA","20 Mar 2026","22277.95","22628.55","22268.5","22540.70"
"NIFTY PHARMA","19 Mar 2026","22413.1","22503.45","22040.55","22101.65"
"NIFTY PHARMA","18 Mar 2026","22633.7","22774.75","22584.3","22632.60"
"NIFTY PHARMA","17 Mar 2026","22632.8","22733.7","22492.95","22597.55"
"NIFTY PHARMA","16 Mar 2026","22800.15","22965.25","22369.8","22547.20"
"NIFTY PHARMA","13 Mar 2026","23198.8","23317.1","22780.65","22832.20"
"NIFTY PHARMA","12 Mar 2026","23299.7","23388","23083.2","23275.20"
"NIFTY PHARMA","11 Mar 2026","23311.75","23540.9","23283.1","23348.05"
"NIFTY PHARMA","10 Mar 2026","23042.55","23305.1","23039.35","23253.65"
"NIFTY PHARMA","09 Mar 2026","22638.85","22977.95","22506.25","22933.75"
"NIFTY PHARMA","06 Mar 2026","23005.05","23131.7","22877.55","22970.20"
"NIFTY PHARMA","05 Mar 2026","22703.6","23082.8","22703.6","23005.50"
"NIFTY PHARMA","04 Mar 2026","22702.55","22814.35","22528.2","22672.20"
"NIFTY PHARMA","02 Mar 2026","22385.3","22994.55","22354.1","22956.70"
"NIFTY PHARMA","27 Feb 2026","23257.8","23301.85","22917.1","22952.35"
"NIFTY PHARMA","26 Feb 2026","23106.95","23436.95","23047.85","23301.65"
"NIFTY PHARMA","25 Feb 2026","22685.5","23071.95","22617.35","23051.85"
"NIFTY PHARMA","24 Feb 2026","22557.25","22692.8","22481.65","22632.05"
"NIFTY PHARMA","23 Feb 2026","22558.8","22608.75","22450","22578.55"
"NIFTY PHARMA","20 Feb 2026","22400.45","22515","22320.15","22452.40"
"NIFTY PHARMA","19 Feb 2026","22578.95","22657.95","22375.75","22429.10"
"NIFTY PHARMA","18 Feb 2026","22529.5","22584.95","22417.3","22541.95"
"NIFTY PHARMA","17 Feb 2026","22390.9","22512.75","22318.4","22494.90"
"NIFTY PHARMA","16 Feb 2026","22184.6","22457.6","22121.7","22403.15"
"NIFTY PHARMA","13 Feb 2026","22325.9","22408.5","22134","22194.90"
"NIFTY PHARMA","12 Feb 2026","22486.1","22486.1","22248.65","22386.30"
"NIFTY PHARMA","11 Feb 2026","22280.45","22581","22158.1","22434.20"
"NIFTY PHARMA","10 Feb 2026","22387.4","22438.25","22161.3","22210.50"
"NIFTY PHARMA","09 Feb 2026","22126.3","22328.6","21974.15","22290.70"
"NIFTY PHARMA","06 Feb 2026","22094.5","22103.95","21810.25","21961.35"
"NIFTY PHARMA","05 Feb 2026","22138.9","22163.85","21919","22119.90"
"NIFTY PHARMA","04 Feb 2026","22275.8","22323.75","22009.85","22125.80"
"NIFTY PHARMA","03 Feb 2026","22470.35","22564.1","22086.05","22200.25"
"NIFTY PHARMA","02 Feb 2026","21629.8","21640.6","21188.55","21549.55"
"NIFTY PHARMA","01 Feb 2026","21874.7","21917.75","21436.7","21535.30"
"NIFTY PHARMA","30 Jan 2026","21544.5","21768.9","21396.35","21715.10"
"NIFTY PHARMA","29 Jan 2026","21781.05","21798","21467.35","21564.00"
"NIFTY PHARMA","28 Jan 2026","21828","21903.85","21622.95","21739.85"
"NIFTY PHARMA","27 Jan 2026","21891.8","21898.35","21632.8","21788.45"
"NIFTY PHARMA","23 Jan 2026","22007.05","22033.5","21676.4","21722.25"
"NIFTY PHARMA","22 Jan 2026","21738.2","22030.55","21726.4","21928.00"
"NIFTY PHARMA","21 Jan 2026","21743.95","21970.4","21477.95","21584.40"
"NIFTY PHARMA","20 Jan 2026","22128.45","22130.4","21668.6","21714.30"
"NIFTY PHARMA","19 Jan 2026","22119.15","22213.2","21910.4","22136.25"
"NIFTY PHARMA","16 Jan 2026","22456.6","22484.35","22175.2","22217.05"
"NIFTY PHARMA","14 Jan 2026","22571.05","22580.85","22413.9","22505.40"
"NIFTY PHARMA","13 Jan 2026","22708.05","22742.7","22392.25","22562.30"
"NIFTY PHARMA","12 Jan 2026","22758","22769.8","22392.5","22668.45"
"NIFTY PHARMA","09 Jan 2026","22961.1","22989.85","22696.45","22761.00"
"NIFTY PHARMA","08 Jan 2026","23260.25","23260.25","22927.3","22962.55"
"NIFTY PHARMA","07 Jan 2026","23117.05","23492.55","23021.8","23286.25"
"NIFTY PHARMA","06 Jan 2026","22791.05","23149.95","22764.85","23126.85"
"NIFTY PHARMA","05 Jan 2026","22810.45","22930.7","22706.05","22743.40"
"NIFTY PHARMA","02 Jan 2026","22649.65","22803.65","22578.7","22790.90"
"NIFTY PHARMA","01 Jan 2026","22735.3","22742.7","22546.05","22632.75"
"NIFTY PHARMA","31 Dec 2025","22620.7","22770.1","22536.15","22723.65"
"NIFTY PHARMA","30 Dec 2025","22604.5","22615.95","22395.15","22540.05"
"NIFTY PHARMA","29 Dec 2025","22697.25","22721.25","22552.6","22578.30"
"NIFTY PHARMA","26 Dec 2025","22761.9","22807.9","22631.6","22684.65"
"NIFTY PHARMA","24 Dec 2025","22903.15","22934.3","22717.45","22757.40"
"NIFTY PHARMA","23 Dec 2025","22980.6","23005.75","22820.3","22875.10"
"NIFTY PHARMA","22 Dec 2025","22780.3","22943.7","22765.15","22927.90"
"NIFTY PHARMA","19 Dec 2025","22583.55","22863.2","22583.55","22751.25"
"NIFTY PHARMA","18 Dec 2025","22601.2","22601.2","22394.25","22557.60"
"NIFTY PHARMA","17 Dec 2025","22585.6","22650.5","22515.65","22612.15"
"NIFTY PHARMA","16 Dec 2025","22700.75","22712.2","22558.35","22591.50"
"NIFTY PHARMA","15 Dec 2025","22736.75","22794.5","22588.9","22719.40"
"NIFTY PHARMA","12 Dec 2025","22825.65","22882.8","22742.1","22808.70"
"NIFTY PHARMA","11 Dec 2025","22541.8","22799.35","22475.2","22783.45"
"NIFTY PHARMA","10 Dec 2025","22583.8","22703.85","22488.2","22561.50"
"NIFTY PHARMA","09 Dec 2025","22607.95","22660.2","22405.05","22522.85"
"NIFTY PHARMA","08 Dec 2025","22938.1","22946.7","22556.3","22640.70"
"NIFTY PHARMA","05 Dec 2025","22973.2","22974","22839.8","22947.15"
"NIFTY PHARMA","04 Dec 2025","22912.95","22987.9","22838.25","22958.95"
"NIFTY PHARMA","03 Dec 2025","22949.3","23005.3","22726.5","22907.85"
"NIFTY PHARMA","02 Dec 2025","22879.75","22983.65","22825.35","22905.00"
"NIFTY PHARMA","01 Dec 2025","23076.95","23101.1","22810.25","22887.75"
"NIFTY PHARMA","28 Nov 2025","22899.7","23010.4","22856.65","22998.30"
"NIFTY PHARMA","27 Nov 2025","22879.35","22948","22812.7","22863.00"
"NIFTY PHARMA","26 Nov 2025","22591.15","22881.85","22572.65","22862.35"
"NIFTY PHARMA","25 Nov 2025","22521.9","22672.1","22480","22590.95"
"NIFTY PHARMA","24 Nov 2025","22604.65","22625.9","22442.05","22492.45"
"NIFTY PHARMA","21 Nov 2025","22665.8","22695.15","22544.9","22580.95"
"NIFTY PHARMA","20 Nov 2025","22801.05","22802.1","22638.6","22687.55"
"NIFTY PHARMA","19 Nov 2025","22754.6","22773","22593.1","22727.65"
"NIFTY PHARMA","18 Nov 2025","22878.7","22882.55","22680.45","22713.65"
"NIFTY PHARMA","17 Nov 2025","22885.45","22888.8","22750.2","22867.60"
"NIFTY PHARMA","14 Nov 2025","22714.3","22864.6","22648.95","22821.05"
"NIFTY PHARMA","13 Nov 2025","22644.65","22828.55","22595.4","22686.80"
"NIFTY PHARMA","12 Nov 2025","22453.25","22616.65","22333.85","22593.40"
"NIFTY PHARMA","11 Nov 2025","22426.7","22442.4","22265.15","22369.60"
"NIFTY PHARMA","10 Nov 2025","22249.1","22422.5","22212.8","22379.85"
"NIFTY PHARMA","07 Nov 2025","22260.95","22320","22105.2","22169.80"
"NIFTY PHARMA","06 Nov 2025","22393.85","22474.55","22167.95","22250.55"
"NIFTY PHARMA","04 Nov 2025","22475.3","22494.9","22286","22334.45"
"NIFTY PHARMA","03 Nov 2025","22187.1","22472.85","22154.95","22442.60"
"NIFTY PHARMA","31 Oct 2025","22251.55","22312.2","22147.85","22175.40"
"NIFTY PHARMA","30 Oct 2025","22388.15","22388.15","22105.4","22298.20"
"NIFTY PHARMA","29 Oct 2025","22311.75","22521.45","22297.95","22430.70"
"NIFTY PHARMA","28 Oct 2025","22316.85","22377.4","22147.6","22250.90"
"NIFTY PHARMA","27 Oct 2025","22405.7","22411.55","22272.35","22310.40"
"NIFTY PHARMA","24 Oct 2025","22492.05","22517.9","22273.05","22357.35"
"NIFTY PHARMA","23 Oct 2025","22665","22667.45","22441.25","22481.25"
"NIFTY PHARMA","21 Oct 2025","22509.5","22547.85","22477.15","22515.70"
"NIFTY PHARMA","20 Oct 2025","22346.85","22477.95","22313.5","22439.90"
"NIFTY PHARMA","17 Oct 2025","22122.2","22341.05","22039","22253.75"
"NIFTY PHARMA","16 Oct 2025","22083.25","22129.7","22034.05","22103.20"
"NIFTY PHARMA","15 Oct 2025","22047.05","22146.9","22007.9","22057.30"
"NIFTY PHARMA","14 Oct 2025","22223.15","22227.25","21924.85","22039.25"
"NIFTY PHARMA","13 Oct 2025","22154.7","22231.8","22094.6","22205.10"
"NIFTY PHARMA","10 Oct 2025","21952.4","22324.6","21849.55","22218.25"
"NIFTY PHARMA","09 Oct 2025","21872.2","22042.55","21837.35","21936.20"
"NIFTY PHARMA","08 Oct 2025","21856.15","21973.65","21677.15","21707.35"
"NIFTY PHARMA","07 Oct 2025","21813.75","21900.35","21737.3","21875.30"
"NIFTY PHARMA","06 Oct 2025","21727.15","21799","21591.45","21779.85"
"NIFTY PHARMA","03 Oct 2025","21684.2","21873.2","21660.7","21756.35"
"NIFTY PHARMA","01 Oct 2025","21511.5","21786.55","21511.5","21733.50"
"NIFTY PHARMA","30 Sep 2025","21509.05","21594.25","21365.9","21454.25"
"NIFTY PHARMA","29 Sep 2025","21543.4","21740.85","21443.8","21475.30"
"NIFTY PHARMA","26 Sep 2025","21623.95","21695.55","21390.25","21507.20"
"NIFTY PHARMA","25 Sep 2025","22219.65","22311.15","21956.25","21977.70"
"NIFTY PHARMA","24 Sep 2025","22291.05","22321.25","22166.4","22180.70"
"NIFTY PHARMA","23 Sep 2025","22386.55","22434.75","22210.25","22299.10"
"NIFTY PHARMA","22 Sep 2025","22668.95","22685.45","22325.5","22365.75"
"NIFTY PHARMA","19 Sep 2025","22636.2","22716.9","22580.75","22686.60"
"NIFTY PHARMA","18 Sep 2025","22321.9","22596.9","22261.2","22574.35"
"NIFTY PHARMA","17 Sep 2025","22274.5","22307.05","22194.6","22241.35"
"NIFTY PHARMA","16 Sep 2025","22240","22310.9","22197.1","22264.55"
"NIFTY PHARMA","15 Sep 2025","22315.3","22330.9","22111.85","22198.70"
"NIFTY PHARMA","12 Sep 2025","22262.4","22399.25","22260.45","22341.20"
"NIFTY PHARMA","11 Sep 2025","22150.3","22307.8","22039.55","22224.00"
"NIFTY PHARMA","10 Sep 2025","22110.95","22201.45","22026.75","22122.05"
"NIFTY PHARMA","09 Sep 2025","21885.25","22080.4","21883.55","22052.65"
"NIFTY PHARMA","08 Sep 2025","21951.1","22034.8","21811.25","21865.20"
"NIFTY PHARMA","05 Sep 2025","21927.35","22139.85","21842.2","21924.80"
"NIFTY PHARMA","04 Sep 2025","22156.7","22156.7","21850.75","21915.40"
"NIFTY PHARMA","03 Sep 2025","21741.25","21985.2","21697.2","21959.60"
"NIFTY PHARMA","02 Sep 2025","21813.95","21845.05","21676.55","21719.95"
"NIFTY PHARMA","01 Sep 2025","21820.4","21916.85","21691.4","21778.85"
"NIFTY PHARMA","29 Aug 2025","21806.35","21894.6","21696.9","21804.05"
"NIFTY PHARMA","28 Aug 2025","22043.8","22051.8","21732.35","21808.35"
"NIFTY PHARMA","26 Aug 2025","22292.35","22292.35","21941.15","21990.00"
"NIFTY PHARMA","25 Aug 2025","22361.6","22394.05","22259.6","22362.80"
"NIFTY PHARMA","22 Aug 2025","22213.2","22304.65","22171.6","22265.00"
"NIFTY PHARMA","21 Aug 2025","21958.65","22253.7","21867.75","22177.70"
"NIFTY PHARMA","20 Aug 2025","22069.55","22093.7","21899.65","21969.50"
"NIFTY PHARMA","19 Aug 2025","22167.1","22177.45","22030.55","22066.75"
"NIFTY PHARMA","18 Aug 2025","22243.5","22253.3","22038.7","22141.15"
"NIFTY PHARMA","14 Aug 2025","22176.85","22370.45","22077.5","22151.85"
"NIFTY PHARMA","13 Aug 2025","21803.45","22171.05","21794.3","22130.30"
"NIFTY PHARMA","12 Aug 2025","21604.65","21900","21554.7","21753.50"
"NIFTY PHARMA","11 Aug 2025","21391.75","21783.6","21324.05","21604.65"
"NIFTY PHARMA","08 Aug 2025","21633.05","21676.15","21375.95","21402.15"
"NIFTY PHARMA","07 Aug 2025","21380.9","21712.35","21325.2","21684.80"
"NIFTY PHARMA","06 Aug 2025","21966.5","21966.6","21487.3","21523.75"
"NIFTY PHARMA","05 Aug 2025","22142.65","22237.6","21879.65","21970.15"
"NIFTY PHARMA","04 Aug 2025","22038.5","22206.8","21890.55","22153.80"
"NIFTY PHARMA","01 Aug 2025","22696.25","22705.95","21972.65","22011.70"
"NIFTY PHARMA","31 Jul 2025","22772.9","22993.85","22701.85","22771.05"
"NIFTY PHARMA","30 Jul 2025","23102.05","23162.45","22996.55","23073.90"
"NIFTY PHARMA","29 Jul 2025","22741.5","23115.05","22732.6","23072.45"
"NIFTY PHARMA","28 Jul 2025","22690.5","22908.4","22662.8","22761.15"
"NIFTY PHARMA","25 Jul 2025","22525.55","22715.95","22440.05","22662.70"
"NIFTY PHARMA","24 Jul 2025","22457.2","22618.7","22455.1","22541.05"
