"Index Name","Date","Open","High","Low","Close"
"NIFTY POWER","16 Jul 2026","-","-","-","9077.49"
"NIFTY POWER","15 Jul 2026","-","-","-","9116.94"
"NIFTY POWER","14 Jul 2026","-","-","-","9235.36"
"NIFTY POWER","13 Jul 2026","-","-","-","9150.58"
"NIFTY POWER","10 Jul 2026","-","-","-","9123.10"
"NIFTY POWER","09 Jul 2026","-","-","-","9008.04"
"NIFTY POWER","08 Jul 2026","-","-","-","9034.64"
"NIFTY POWER","07 Jul 2026","-","-","-","9140.01"
"NIFTY POWER","06 Jul 2026","-","-","-","9183.10"
"NIFTY POWER","03 Jul 2026","-","-","-","9200.58"
"NIFTY POWER","02 Jul 2026","-","-","-","9251.45"
"NIFTY POWER","01 Jul 2026","-","-","-","9232.63"
"NIFTY POWER","30 Jun 2026","-","-","-","9202.49"
"NIFTY POWER","29 Jun 2026","-","-","-","9219.22"
"NIFTY POWER","25 Jun 2026","-","-","-","9214.50"
"NIFTY POWER","24 Jun 2026","-","-","-","9297.28"
"NIFTY POWER","23 Jun 2026","-","-","-","9349.12"
"NIFTY POWER","22 Jun 2026","-","-","-","9455.94"
"NIFTY POWER","19 Jun 2026","-","-","-","9356.15"
"NIFTY POWER","18 Jun 2026","-","-","-","9336.09"
"NIFTY POWER","17 Jun 2026","-","-","-","9171.68"
"NIFTY POWER","16 Jun 2026","-","-","-","9190.52"
"NIFTY POWER","15 Jun 2026","-","-","-","9150.73"
"NIFTY POWER","12 Jun 2026","-","-","-","9140.51"
"NIFTY POWER","11 Jun 2026","-","-","-","9017.36"
"NIFTY POWER","10 Jun 2026","-","-","-","9137.51"
"NIFTY POWER","09 Jun 2026","-","-","-","9293.89"
"NIFTY POWER","08 Jun 2026","-","-","-","9341.40"
"NIFTY POWER","05 Jun 2026","-","-","-","9426.19"
"NIFTY POWER","04 Jun 2026","-","-","-","9349.08"
"NIFTY POWER","03 Jun 2026","-","-","-","9351.34"
"NIFTY POWER","02 Jun 2026","-","-","-","9385.71"
"NIFTY POWER","01 Jun 2026","-","-","-","9424.76"
"NIFTY POWER","29 May 2026","-","-","-","9637.13"
"NIFTY POWER","27 May 2026","-","-","-","9844.93"
"NIFTY POWER","26 May 2026","-","-","-","9606.68"
"NIFTY POWER","25 May 2026","-","-","-","9476.18"
"NIFTY POWER","22 May 2026","-","-","-","9318.43"
"NIFTY POWER","21 May 2026","-","-","-","9345.34"
"NIFTY POWER","20 May 2026","-","-","-","9383.00"
"NIFTY POWER","19 May 2026","-","-","-","9354.13"
"NIFTY POWER","18 May 2026","-","-","-","9294.57"
"NIFTY POWER","15 May 2026","-","-","-","9380.15"
"NIFTY POWER","14 May 2026","-","-","-","9434.84"
"NIFTY POWER","13 May 2026","-","-","-","9272.03"
"NIFTY POWER","12 May 2026","-","-","-","9294.31"
"NIFTY POWER","11 May 2026","-","-","-","9605.67"
"NIFTY POWER","08 May 2026","-","-","-","9726.11"
"NIFTY POWER","07 May 2026","-","-","-","9795.32"
"NIFTY POWER","06 May 2026","-","-","-","9785.97"
"NIFTY POWER","05 May 2026","-","-","-","9794.47"
"NIFTY POWER","04 May 2026","-","-","-","9768.76"
"NIFTY POWER","30 Apr 2026","-","-","-","9660.30"
"NIFTY POWER","29 Apr 2026","-","-","-","9731.21"
"NIFTY POWER","28 Apr 2026","-","-","-","9860.58"
"NIFTY POWER","27 Apr 2026","-","-","-","9804.99"
"NIFTY POWER","24 Apr 2026","-","-","-","9558.26"
"NIFTY POWER","23 Apr 2026","-","-","-","9589.30"
"NIFTY POWER","22 Apr 2026","-","-","-","9616.77"
"NIFTY POWER","21 Apr 2026","-","-","-","9370.53"
"NIFTY POWER","20 Apr 2026","-","-","-","9362.40"
"NIFTY POWER","17 Apr 2026","-","-","-","9276.99"
"NIFTY POWER","16 Apr 2026","-","-","-","9126.42"
"NIFTY POWER","15 Apr 2026","-","-","-","8982.62"
"NIFTY POWER","13 Apr 2026","-","-","-","8761.62"
"NIFTY POWER","10 Apr 2026","-","-","-","8637.45"
"NIFTY POWER","09 Apr 2026","-","-","-","8494.83"
"NIFTY POWER","08 Apr 2026","-","-","-","8437.21"
"NIFTY POWER","07 Apr 2026","-","-","-","8207.56"
"NIFTY POWER","06 Apr 2026","-","-","-","8194.43"
"NIFTY POWER","02 Apr 2026","-","-","-","8036.93"
"NIFTY POWER","01 Apr 2026","-","-","-","8048.82"
"NIFTY POWER","30 Mar 2026","-","-","-","7931.27"
"NIFTY POWER","27 Mar 2026","-","-","-","8078.28"
"NIFTY POWER","25 Mar 2026","-","-","-","8163.84"
"NIFTY POWER","24 Mar 2026","-","-","-","8085.43"
"NIFTY POWER","23 Mar 2026","-","-","-","8042.35"
"NIFTY POWER","20 Mar 2026","-","-","-","8258.36"
"NIFTY POWER","19 Mar 2026","-","-","-","8185.49"
"NIFTY POWER","18 Mar 2026","-","-","-","8286.23"
"NIFTY POWER","17 Mar 2026","-","-","-","8258.24"
"NIFTY POWER","16 Mar 2026","-","-","-","8205.54"
"NIFTY POWER","13 Mar 2026","-","-","-","8221.20"
"NIFTY POWER","12 Mar 2026","-","-","-","8340.84"
"NIFTY POWER","11 Mar 2026","-","-","-","8068.74"
"NIFTY POWER","10 Mar 2026","-","-","-","8055.98"
"NIFTY POWER","09 Mar 2026","-","-","-","7963.58"
"NIFTY POWER","06 Mar 2026","-","-","-","8075.22"
"NIFTY POWER","05 Mar 2026","-","-","-","8086.18"
"NIFTY POWER","04 Mar 2026","-","-","-","7887.96"
"NIFTY POWER","02 Mar 2026","-","-","-","8053.21"
"NIFTY POWER","27 Feb 2026","-","-","-","8207.57"
"NIFTY POWER","26 Feb 2026","-","-","-","8277.83"
"NIFTY POWER","25 Feb 2026","-","-","-","8304.46"
"NIFTY POWER","24 Feb 2026","-","-","-","8299.16"
"NIFTY POWER","23 Feb 2026","-","-","-","8225.36"
"NIFTY POWER","20 Feb 2026","-","-","-","8184.25"
"NIFTY POWER","19 Feb 2026","-","-","-","8063.47"
"NIFTY POWER","18 Feb 2026","-","-","-","8225.59"
"NIFTY POWER","17 Feb 2026","-","-","-","8213.47"
"NIFTY POWER","16 Feb 2026","-","-","-","8179.68"
"NIFTY POWER","13 Feb 2026","-","-","-","7995.14"
"NIFTY POWER","12 Feb 2026","-","-","-","8189.19"
"NIFTY POWER","11 Feb 2026","-","-","-","8198.89"
"NIFTY POWER","10 Feb 2026","-","-","-","8165.50"
"NIFTY POWER","09 Feb 2026","-","-","-","8123.32"
"NIFTY POWER","06 Feb 2026","-","-","-","8129.90"
"NIFTY POWER","05 Feb 2026","-","-","-","8118.43"
"NIFTY POWER","04 Feb 2026","-","-","-","8139.14"
"NIFTY POWER","03 Feb 2026","-","-","-","7919.64"
"NIFTY POWER","02 Feb 2026","-","-","-","7611.73"
"NIFTY POWER","01 Feb 2026","-","-","-","7400.74"
"NIFTY POWER","30 Jan 2026","-","-","-","7638.55"
"NIFTY POWER","29 Jan 2026","-","-","-","7673.86"
"NIFTY POWER","28 Jan 2026","-","-","-","7560.79"
"NIFTY POWER","27 Jan 2026","-","-","-","7401.65"
"NIFTY POWER","23 Jan 2026","-","-","-","7338.55"
"NIFTY POWER","22 Jan 2026","-","-","-","7627.27"
"NIFTY POWER","21 Jan 2026","-","-","-","7503.04"
"NIFTY POWER","20 Jan 2026","-","-","-","7520.60"
"NIFTY POWER","19 Jan 2026","-","-","-","7674.12"
"NIFTY POWER","16 Jan 2026","-","-","-","7744.82"
"NIFTY POWER","14 Jan 2026","-","-","-","7792.35"
"NIFTY POWER","13 Jan 2026","-","-","-","7755.50"
"NIFTY POWER","12 Jan 2026","-","-","-","7776.83"
"NIFTY POWER","09 Jan 2026","-","-","-","7745.91"
"NIFTY POWER","08 Jan 2026","-","-","-","7889.58"
"NIFTY POWER","07 Jan 2026","-","-","-","8056.41"
"NIFTY POWER","06 Jan 2026","-","-","-","8128.00"
"NIFTY POWER","05 Jan 2026","-","-","-","8158.62"
"NIFTY POWER","02 Jan 2026","-","-","-","8189.48"
