"Index Name","Date","Open","High","Low","Close"
"NIFTY PRIVATE BANK","16 Jul 2026","28034.15","28060.4","27830.95","27915.60"
"NIFTY PRIVATE BANK","15 Jul 2026","28015.05","28259.1","27885.7","28002.50"
"NIFTY PRIVATE BANK","14 Jul 2026","28020.4","28023.45","27795.1","27915.95"
"NIFTY PRIVATE BANK","13 Jul 2026","27900.8","28196.6","27838.55","28154.10"
"NIFTY PRIVATE BANK","10 Jul 2026","27914.95","28158.1","27911.55","28083.95"
"NIFTY PRIVATE BANK","09 Jul 2026","27660.6","27896.2","27655.8","27762.80"
"NIFTY PRIVATE BANK","08 Jul 2026","28204.9","28259.45","27534.3","27591.65"
"NIFTY PRIVATE BANK","07 Jul 2026","28498.35","28501.65","28256.6","28305.35"
"NIFTY PRIVATE BANK","06 Jul 2026","28207.4","28428.9","28171.8","28347.25"
"NIFTY PRIVATE BANK","03 Jul 2026","28402.4","28408.25","28173.45","28215.45"
"NIFTY PRIVATE BANK","02 Jul 2026","28202.8","28372.4","28101.1","28215.45"
"NIFTY PRIVATE BANK","01 Jul 2026","27949.15","28239.25","27915.85","28177.75"
"NIFTY PRIVATE BANK","30 Jun 2026","28178.55","28190.9","27862.2","27929.15"
"NIFTY PRIVATE BANK","29 Jun 2026","28330.4","28377.55","28007.5","28050.15"
"NIFTY PRIVATE BANK","25 Jun 2026","28433.05","28601.3","28283.9","28322.60"
"NIFTY PRIVATE BANK","24 Jun 2026","27720.75","28316.3","27710.65","28276.80"
"NIFTY PRIVATE BANK","23 Jun 2026","27924.05","28106.8","27695.5","27762.60"
"NIFTY PRIVATE BANK","22 Jun 2026","28007.65","28048.2","27939.6","27977.95"
"NIFTY PRIVATE BANK","19 Jun 2026","27927.2","27966.7","27805.8","27892.05"
"NIFTY PRIVATE BANK","18 Jun 2026","27862.4","28055.2","27861.5","28031.35"
"NIFTY PRIVATE BANK","17 Jun 2026","27964.35","28022.4","27846.75","27893.30"
"NIFTY PRIVATE BANK","16 Jun 2026","27841.2","27939.1","27740.85","27916.90"
"NIFTY PRIVATE BANK","15 Jun 2026","28036.5","28114.4","27739.55","27811.60"
"NIFTY PRIVATE BANK","12 Jun 2026","27216","27684.8","27099.5","27649.70"
"NIFTY PRIVATE BANK","11 Jun 2026","26608.8","27197","26589.1","26886.30"
"NIFTY PRIVATE BANK","10 Jun 2026","26471.3","26952.9","26470.6","26740.30"
"NIFTY PRIVATE BANK","09 Jun 2026","26247.1","26615.4","26217.15","26549.80"
"NIFTY PRIVATE BANK","08 Jun 2026","26000.55","26287.45","25996.9","26122.40"
"NIFTY PRIVATE BANK","05 Jun 2026","26288.25","26427.65","26137.55","26299.25"
"NIFTY PRIVATE BANK","04 Jun 2026","26037","26341.8","26030.7","26238.50"
"NIFTY PRIVATE BANK","03 Jun 2026","25908.2","26260.55","25733.15","26193.40"
"NIFTY PRIVATE BANK","02 Jun 2026","25850.6","26161.35","25818.35","26011.30"
"NIFTY PRIVATE BANK","01 Jun 2026","26386.45","26465.95","25984.75","26068.00"
"NIFTY PRIVATE BANK","29 May 2026","26552.05","26840.6","26256.05","26326.40"
