"Index Name","Date","Open","High","Low","Close"
"NIFTY PSU BANK","16 Jul 2026","8414.75","8419.25","8330.55","8347.90"
"NIFTY PSU BANK","15 Jul 2026","8334.05","8465.05","8326.75","8386.85"
"NIFTY PSU BANK","14 Jul 2026","8423.65","8447.1","8280.55","8307.90"
"NIFTY PSU BANK","13 Jul 2026","8374.55","8497.8","8346.85","8460.60"
"NIFTY PSU BANK","10 Jul 2026","8255.15","8561.2","8253.3","8451.60"
"NIFTY PSU BANK","09 Jul 2026","8096.25","8226.4","8089.8","8203.20"
"NIFTY PSU BANK","08 Jul 2026","8238","8269.5","8034.2","8072.30"
"NIFTY PSU BANK","07 Jul 2026","8351.9","8382.85","8286.55","8298.30"
"NIFTY PSU BANK","06 Jul 2026","8409.65","8437.6","8327.7","8333.95"
"NIFTY PSU BANK","03 Jul 2026","8554.6","8554.6","8369.9","8407.60"
"NIFTY PSU BANK","02 Jul 2026","8622.2","8628.85","8504.6","8539.35"
"NIFTY PSU BANK","01 Jul 2026","8525.2","8596.45","8476.7","8576.60"
"NIFTY PSU BANK","30 Jun 2026","8583.15","8598.7","8481.4","8492.65"
"NIFTY PSU BANK","29 Jun 2026","8631.4","8654.45","8498.15","8553.85"
"NIFTY PSU BANK","25 Jun 2026","8684.5","8704.25","8617.35","8636.10"
"NIFTY PSU BANK","24 Jun 2026","8577.7","8676.8","8552.8","8628.20"
"NIFTY PSU BANK","23 Jun 2026","8778.95","8782.2","8576.9","8591.00"
"NIFTY PSU BANK","22 Jun 2026","8737.4","8772.7","8697.25","8763.90"
"NIFTY PSU BANK","19 Jun 2026","8757.15","8759.15","8665.9","8716.50"
"NIFTY PSU BANK","18 Jun 2026","8743.05","8800.15","8703.15","8770.70"
"NIFTY PSU BANK","17 Jun 2026","8590.6","8725.1","8534.65","8713.10"
"NIFTY PSU BANK","16 Jun 2026","8617.15","8635.15","8494.75","8563.20"
"NIFTY PSU BANK","15 Jun 2026","8663.55","8721.85","8562.6","8581.30"
"NIFTY PSU BANK","12 Jun 2026","8446.95","8537.7","8385.75","8528.75"
"NIFTY PSU BANK","11 Jun 2026","8314.85","8358.05","8260.65","8303.95"
"NIFTY PSU BANK","10 Jun 2026","8497.15","8539.3","8358.7","8378.70"
"NIFTY PSU BANK","09 Jun 2026","8221.55","8509","8217.3","8496.60"
"NIFTY PSU BANK","08 Jun 2026","8171.15","8346.95","8165.7","8199.55"
"NIFTY PSU BANK","05 Jun 2026","8239.65","8361.75","8200.35","8259.05"
"NIFTY PSU BANK","04 Jun 2026","8162.9","8258.55","8110.9","8219.35"
"NIFTY PSU BANK","03 Jun 2026","8044.75","8206.85","7948.2","8185.90"
"NIFTY PSU BANK","02 Jun 2026","7972.75","8070.85","7913.15","8049.15"
"NIFTY PSU BANK","01 Jun 2026","8187.35","8212.8","7982.85","8005.50"
"NIFTY PSU BANK","29 May 2026","8244.2","8300.65","8127.3","8156.15"
"NIFTY PSU BANK","27 May 2026","8207.8","8266.55","8196.9","8225.45"
"NIFTY PSU BANK","26 May 2026","8259.15","8299.35","8165.8","8200.20"
"NIFTY PSU BANK","25 May 2026","8102.4","8258.05","8093.25","8238.10"
"NIFTY PSU BANK","22 May 2026","7991.45","8037.65","7978.8","8006.15"
"NIFTY PSU BANK","21 May 2026","8051.45","8079.3","7967","7988.35"
"NIFTY PSU BANK","20 May 2026","7874.25","7983.2","7823.75","7970.90"
"NIFTY PSU BANK","19 May 2026","7898.45","7974","7882.25","7936.40"
"NIFTY PSU BANK","18 May 2026","7949.9","7957.4","7809.15","7873.00"
"NIFTY PSU BANK","15 May 2026","8164.9","8166.95","8016.25","8027.20"
"NIFTY PSU BANK","14 May 2026","8105.2","8233.8","8014.95","8174.40"
"NIFTY PSU BANK","13 May 2026","8093.8","8135.9","7974.8","8064.20"
"NIFTY PSU BANK","12 May 2026","8120.8","8215.4","8054.6","8071.35"
"NIFTY PSU BANK","11 May 2026","8318.25","8318.3","8144.35","8161.05"
"NIFTY PSU BANK","08 May 2026","8612.05","8613.55","8320.35","8371.95"
"NIFTY PSU BANK","07 May 2026","8741.55","8745.15","8597.4","8636.60"
"NIFTY PSU BANK","06 May 2026","8574","8700.55","8461.9","8679.15"
"NIFTY PSU BANK","05 May 2026","8430.85","8492.45","8372.45","8439.25"
"NIFTY PSU BANK","04 May 2026","8495.5","8637.95","8441","8455.80"
"NIFTY PSU BANK","30 Apr 2026","8556.4","8556.4","8415.25","8482.60"
"NIFTY PSU BANK","29 Apr 2026","8692.55","8789.5","8606.25","8627.70"
"NIFTY PSU BANK","28 Apr 2026","8720.25","8778.6","8651","8663.05"
"NIFTY PSU BANK","27 Apr 2026","8865.55","8927.5","8808.45","8853.70"
"NIFTY PSU BANK","24 Apr 2026","8819.55","8864.4","8711.25","8811.20"
"NIFTY PSU BANK","23 Apr 2026","8983.25","8987.45","8753.7","8824.25"
"NIFTY PSU BANK","22 Apr 2026","8999.4","9095.7","8971.15","9022.20"
"NIFTY PSU BANK","21 Apr 2026","8992.95","9055.95","8966.8","9011.45"
"NIFTY PSU BANK","20 Apr 2026","8875.65","9039.15","8806.95","8940.45"
"NIFTY PSU BANK","17 Apr 2026","8799.25","8879.4","8752.45","8862.90"
"NIFTY PSU BANK","16 Apr 2026","8858.9","8898.35","8750.9","8797.60"
"NIFTY PSU BANK","15 Apr 2026","8858.2","8948.7","8777.45","8812.40"
"NIFTY PSU BANK","13 Apr 2026","8538.9","8730.4","8451.5","8713.90"
"NIFTY PSU BANK","10 Apr 2026","8693.35","8789.4","8668.3","8778.25"
"NIFTY PSU BANK","09 Apr 2026","8709.5","8789.55","8581.05","8605.70"
"NIFTY PSU BANK","08 Apr 2026","8611","8749.55","8600.7","8716.10"
"NIFTY PSU BANK","07 Apr 2026","8267.85","8280.4","8157.9","8264.80"
"NIFTY PSU BANK","06 Apr 2026","8176.05","8338.65","8074.15","8323.95"
"NIFTY PSU BANK","02 Apr 2026","8014.9","8178.7","7833.45","8134.40"
"NIFTY PSU BANK","01 Apr 2026","8139.45","8257.3","8035.9","8164.80"
"NIFTY PSU BANK","30 Mar 2026","8098.9","8129.15","7850.75","7873.45"
"NIFTY PSU BANK","27 Mar 2026","8499.95","8508.05","8233.1","8249.45"
"NIFTY PSU BANK","25 Mar 2026","8457.3","8645.7","8457.3","8581.05"
"NIFTY PSU BANK","24 Mar 2026","8429.6","8449.3","8287.85","8357.55"
"NIFTY PSU BANK","23 Mar 2026","8443.25","8448.3","8188.6","8231.65"
"NIFTY PSU BANK","20 Mar 2026","8496.95","8731.45","8496.95","8584.60"
"NIFTY PSU BANK","19 Mar 2026","8483.1","8523.55","8353.2","8410.30"
"NIFTY PSU BANK","18 Mar 2026","8615.6","8704.5","8610.8","8661.95"
"NIFTY PSU BANK","17 Mar 2026","8611","8624.15","8456.85","8596.95"
