date,index_name,index_slug,source,source_file,open,high,low,close
2025-07-18,NIFTY METAL,metal,nse_sector_csv,NIFTY METAL_Historical_PR_18072025to17072026.csv,9439.85,9509.05,9398.75,9458.2
2025-07-18,NIFTY MIDSMALL FINANCIAL SERVICES,midsmall_fin,nse_sector_csv,NIFTY MIDSMALL FINANCIAL SERVICES_Historical_PR_18072025to17072026.csv,18746.2,18776.0,18574.2,18648.0
2025-07-18,NIFTY MIDSMALL HEALTHCARE,midsmall_health,nse_sector_csv,NIFTY MIDSMALL HEALTHCARE_Historical_PR_18072025to17072026.csv,45439.15,45455.3,45014.5,45067.3
2025-07-18,NIFTY MIDSMALL IT & TELECOM,midsmall_it,nse_sector_csv,NIFTY MIDSMALL IT & TELECOM_Historical_PR_18072025to17072026.csv,10255.8,10278.1,10149.05,10220.25
2025-07-18,NIFTY 50,nifty50,nse_sector_csv,NIFTY 50_Historical_PR_18072025to17072026.csv,25108.55,25144.6,24918.65,24968.4
2025-07-18,NIFTY OIL & GAS,oil_gas,nse_sector_csv,NIFTY OIL & GAS_Historical_PR_18072025to17072026.csv,11843.0,11867.4,11727.8,11771.9
2025-07-18,NIFTY PHARMA,pharma,nse_sector_csv,NIFTY PHARMA_Historical_PR_18072025to17072026.csv,22713.55,22720.3,22511.65,22592.75
2025-07-18,NIFTY POWER,power,nse_sector_csv,NIFTY POWER_Historical_PR_18072025to17072026.csv,,,,8227.98
2025-07-18,NIFTY PRIVATE BANK,private_bank,nse_sector_csv,NIFTY PRIVATE BANK_Historical_PR_18072025to17072026.csv,27616.25,27735.2,27501.05,27534.5
2025-07-18,NIFTY PSU BANK,psu_bank,nse_sector_csv,NIFTY PSU BANK_Historical_PR_18072025to17072026.csv,7217.5,7240.25,7146.75,7162.5
2025-07-21,NIFTY METAL,metal,nse_sector_csv,NIFTY METAL_Historical_PR_18072025to17072026.csv,9510.9,9585.35,9492.75,9555.5
2025-07-21,NIFTY MIDSMALL FINANCIAL SERVICES,midsmall_fin,nse_sector_csv,NIFTY MIDSMALL FINANCIAL SERVICES_Historical_PR_18072025to17072026.csv,18603.55,18785.9,18495.1,18742.35
2025-07-21,NIFTY MIDSMALL HEALTHCARE,midsmall_health,nse_sector_csv,NIFTY MIDSMALL HEALTHCARE_Historical_PR_18072025to17072026.csv,45136.55,45142.45,44695.6,44931.05
2025-07-21,NIFTY MIDSMALL IT & TELECOM,midsmall_it,nse_sector_csv,NIFTY MIDSMALL IT & TELECOM_Historical_PR_18072025to17072026.csv,10205.4,10305.85,10139.95,10292.9
2025-07-21,NIFTY 50,nifty50,nse_sector_csv,NIFTY 50_Historical_PR_18072025to17072026.csv,24999.0,25111.4,24882.3,25090.7
2025-07-21,NIFTY OIL & GAS,oil_gas,nse_sector_csv,NIFTY OIL & GAS_Historical_PR_18072025to17072026.csv,11737.75,11773.95,11616.85,11643.45
2025-07-21,NIFTY PHARMA,pharma,nse_sector_csv,NIFTY PHARMA_Historical_PR_18072025to17072026.csv,22567.95,22615.15,22439.15,22531.85
2025-07-21,NIFTY POWER,power,nse_sector_csv,NIFTY POWER_Historical_PR_18072025to17072026.csv,,,,8222.08
2025-07-21,NIFTY PRIVATE BANK,private_bank,nse_sector_csv,NIFTY PRIVATE BANK_Historical_PR_18072025to17072026.csv,27618.85,27897.0,27481.5,27881.0
2025-07-21,NIFTY PSU BANK,psu_bank,nse_sector_csv,NIFTY PSU BANK_Historical_PR_18072025to17072026.csv,7163.25,7174.2,7075.85,7118.1
2025-07-22,NIFTY METAL,metal,nse_sector_csv,NIFTY METAL_Historical_PR_18072025to17072026.csv,9576.25,9598.85,9522.3,9533.3
2025-07-22,NIFTY MIDSMALL FINANCIAL SERVICES,midsmall_fin,nse_sector_csv,NIFTY MIDSMALL FINANCIAL SERVICES_Historical_PR_18072025to17072026.csv,18842.55,18845.15,18681.2,18698.2
2025-07-22,NIFTY MIDSMALL HEALTHCARE,midsmall_health,nse_sector_csv,NIFTY MIDSMALL HEALTHCARE_Historical_PR_18072025to17072026.csv,45079.35,45108.35,44585.05,44723.8
2025-07-22,NIFTY MIDSMALL IT & TELECOM,midsmall_it,nse_sector_csv,NIFTY MIDSMALL IT & TELECOM_Historical_PR_18072025to17072026.csv,10316.5,10332.1,10155.7,10164.2
2025-07-22,NIFTY 50,nifty50,nse_sector_csv,NIFTY 50_Historical_PR_18072025to17072026.csv,25166.65,25182.0,25035.55,25060.9
2025-07-22,NIFTY OIL & GAS,oil_gas,nse_sector_csv,NIFTY OIL & GAS_Historical_PR_18072025to17072026.csv,11647.8,11675.5,11585.5,11596.85
2025-07-22,NIFTY PHARMA,pharma,nse_sector_csv,NIFTY PHARMA_Historical_PR_18072025to17072026.csv,22529.1,22570.4,22275.5,22307.2
2025-07-22,NIFTY POWER,power,nse_sector_csv,NIFTY POWER_Historical_PR_18072025to17072026.csv,,,,8185.69
